Model,Total Optimization Time (s),Avg Optimization Time per Fold (s),Avg Retraining Time (s),Best Params Per Fold,Avg Train R2,Std Train R2,Avg Train MSE (original units),Std Train MSE (original units),Avg Train MAPE (%),Std Train MAPE (%),Avg Test R2,Std Test R2,Avg Test MSE (original units),Std Test MSE (original units),Avg Test MAPE (%),Std Test MAPE (%),All Fold Test R2,All Fold Test MSE (original units),All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE (original units),All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.0,0.003,"[{}, {}, {}, {}, {}]",0.4726772873755566,0.061300637528962754,581.7651840521014,44.42807582351416,15.859739674679613,0.970172080043622,-0.17169297038354134,0.5912011157585416,1042.5566240361193,302.24593960112566,20.81067979232529,5.0501923135764235,"[-0.13311070606047437, 0.5055707232039796, -0.8137864687604723, -0.7198893356931206, 0.30275093539238096]","[1309.9709266191041, 716.934875553232, 1297.621203596018, 1171.544189470292, 716.7119249419503]","[22.94137741986598, 22.542419441603148, 17.740373304210095, 26.92377937895884, 13.905449416988382]","[0.5279370162722266, 0.3880462269206164, 0.5170688205381915, 0.5021239665313247, 0.4282104066154241]","[519.9569728675194, 609.6183728819915, 563.3456842226602, 579.7696726872803, 636.1352176010554]","[15.813971790397986, 14.70946023150819, 16.708954405818353, 15.122555654789881, 16.94375629088366]",,
BayesianRidge,12.475,2.495,0.003,"[{""max_iter"": 102, ""alpha_1"": 9.669003566046421e-06, ""alpha_2"": 9.421143661212851e-06, ""lambda_1"": 1.0432324702318276e-07, ""lambda_2"": 1.3058582304854563e-06}, {""max_iter"": 497, ""alpha_1"": 1.325353274491154e-07, ""alpha_2"": 1.941248596919055e-06, ""lambda_1"": 1.8036658222535183e-07, ""lambda_2"": 9.553329902741992e-06}, {""max_iter"": 199, ""alpha_1"": 7.11066519681911e-06, ""alpha_2"": 4.467372333328296e-07, ""lambda_1"": 1.2345675317897636e-07, ""lambda_2"": 4.4199589810917864e-07}, {""max_iter"": 269, ""alpha_1"": 5.066479940674954e-06, ""alpha_2"": 9.785974357206765e-07, ""lambda_1"": 1.0253467912937118e-07, ""lambda_2"": 4.111800221182548e-06}, {""max_iter"": 485, ""alpha_1"": 9.809825078991398e-06, ""alpha_2"": 1.0094374487203795e-07, ""lambda_1"": 1.476944047127673e-07, ""lambda_2"": 3.5633547822599324e-07}]",0.4299057265457954,0.08344785412735002,628.259106245376,65.02360833755789,16.309273197592145,1.1645688123267646,-0.07554264126028083,0.43573293598933766,983.4892281658916,188.6297803911044,20.09503070813543,5.453937228515617,"[-0.03109336622793024, 0.45931972972816526, -0.19142115094528322, -0.7259394616132055, 0.11142104275684961]","[1192.0303331035034, 783.9999783049774, 852.3678914287552, 1175.665378967861, 913.3825590243612]","[21.544322571220484, 23.8954098341056, 14.75474106318403, 26.21963265128418, 14.061047420882844]","[0.5050379229738384, 0.31706909598449007, 0.49191980654995415, 0.46940358861974907, 0.36609821860094505]","[545.1793343812683, 680.3246336758122, 592.682345625466, 617.872094809979, 705.2371227343541]","[16.16707249143201, 15.207704780270559, 17.1374255269516, 15.209602509676746, 17.82456067962981]",,
SVR,5.264,1.053,0.01,"[{""C"": 67.09271751967637, ""gamma"": 0.18102155341464632, ""epsilon"": 0.0013740579305751297}, {""C"": 8285.20800802298, ""gamma"": 0.36735378516017947, ""epsilon"": 0.003123657279653294}, {""C"": 1673.9399310366682, ""gamma"": 0.015100059629534077, ""epsilon"": 0.12286054925003323}, {""C"": 5360.135436978526, ""gamma"": 0.005046044513336847, ""epsilon"": 0.011995796584700132}, {""C"": 134.37515988062484, ""gamma"": 0.20151618714983008, ""epsilon"": 0.19176627904987453}]",0.9809274034885872,0.021498661416263457,21.909221350686366,24.865586047947236,2.1844230467847425,1.9842136644997663,-2.204814791450839,5.660301330478435,2423.508273845132,3731.1863771804137,19.838189274922833,9.247271615200447,"[0.3692349742296822, 0.28300493482803557, 0.6233296528014907, -12.32300993367867, 0.023366414565267557]","[729.2172255260356, 1039.6608614125682, 269.47793343319233, 9075.290223696837, 1003.895125157027]","[16.355341319414997, 28.1800007377637, 8.092494086452204, 30.304986928143652, 16.25812330283961]","[0.9998039192193054, 0.9999898646684635, 0.9849327883375159, 0.9491533327532657, 0.9707571124643856]","[0.21597450484744304, 0.010096652053916022, 17.576104058530902, 59.21023235743473, 32.53369918056484]","[0.10650931118381757, 0.07752382921217182, 3.447371041338381, 2.8943626483684244, 4.396348403820917]",,
DecisionTree,5.842,1.168,0.001,"[{""max_depth"": 29, ""min_samples_split"": 14, ""min_samples_leaf"": 14}, {""max_depth"": 21, ""min_samples_split"": 5, ""min_samples_leaf"": 5}, {""max_depth"": 50, ""min_samples_split"": 15, ""min_samples_leaf"": 8}, {""max_depth"": 33, ""min_samples_split"": 15, ""min_samples_leaf"": 9}, {""max_depth"": 34, ""min_samples_split"": 15, ""min_samples_leaf"": 20}]",0.5086110876051888,0.20480658786367867,548.6953065669429,232.55548896375691,14.253838042154765,4.614798512231122,-0.13744300530361114,0.44645256752543466,1059.5658703373856,222.4327164574237,21.32917779683987,6.690865262773776,"[0.09173901387606165, 0.29965070639178304, -0.0025901544165218837, -0.865585894257568, -0.21042869811181042]","[1050.0258088120627, 1015.5240743641222, 717.2742025011169, 1270.7889217153513, 1244.216344294275]","[21.518007967153995, 27.354374534695182, 12.869128206870048, 28.31040180402995, 16.593976471450176]","[0.36597661556596883, 0.764407310792676, 0.5316533492003513, 0.630509003543241, 0.25050915892370684]","[698.349353923602, 234.69359643744, 546.3326363440665, 430.267093967499, 833.8338521621072]","[17.031209069601807, 7.654432260038956, 13.391562932143383, 13.263980300950411, 19.928005648039278]",,
RandomForest,29.111,5.822,0.108,"[{""n_estimators"": 74, ""max_depth"": 6, ""min_samples_split"": 5, ""min_samples_leaf"": 1}, {""n_estimators"": 145, ""max_depth"": 5, ""min_samples_split"": 4, ""min_samples_leaf"": 3}, {""n_estimators"": 77, ""max_depth"": 19, ""min_samples_split"": 5, ""min_samples_leaf"": 2}, {""n_estimators"": 117, ""max_depth"": 14, ""min_samples_split"": 2, ""min_samples_leaf"": 4}, {""n_estimators"": 122, ""max_depth"": 30, ""min_samples_split"": 5, ""min_samples_leaf"": 3}]",0.7716725885486515,0.05525424933464061,252.80357106517894,63.456131673417715,8.905289350200988,0.9771644042553976,-0.1505170687313764,0.5612485690095825,1051.35183324761,355.3630905072153,18.993685370194964,7.2135020460314045,"[0.44919921999833534, 0.31065174733143763, -0.12990247977483205, -0.9175607134851136, -0.46497311772670935]","[636.7718567145879, 999.5722885634582, 808.3561328768335, 1306.1928260254274, 1505.8660620577432]","[15.075276008703883, 27.30354522388467, 12.485019630978718, 26.342233949478437, 13.762352037929116]","[0.8316473876890953, 0.7334688415305886, 0.7962382751982487, 0.6961658688858132, 0.8008425694395117]","[185.43312585169127, 265.51399516805884, 237.69077905625207, 353.8105932114109, 221.56936203848167]","[8.338095181954447, 8.570562815405895, 8.11427980249675, 10.566293453365013, 8.937215497782832]",,
XGBoost,15.55,3.11,0.084,"[{""n_estimators"": 73, ""learning_rate"": 0.09458686124847411, ""max_depth"": 5, ""subsample"": 0.7132462602500624, ""colsample_bytree"": 0.6154497184284764}, {""n_estimators"": 86, ""learning_rate"": 0.0417480404843117, ""max_depth"": 3, ""subsample"": 0.7268851428292205, ""colsample_bytree"": 0.9642706552611877}, {""n_estimators"": 140, ""learning_rate"": 0.10827710666735768, ""max_depth"": 3, ""subsample"": 0.8459217921357776, ""colsample_bytree"": 0.8877387899423416}, {""n_estimators"": 114, ""learning_rate"": 0.06452575404981604, ""max_depth"": 3, ""subsample"": 0.6569110322932711, ""colsample_bytree"": 0.7752131431539191}, {""n_estimators"": 150, ""learning_rate"": 0.014340532446742167, ""max_depth"": 10, ""subsample"": 0.67156031696282, ""colsample_bytree"": 0.6740010286345269}]",0.9473692601511576,0.05518298007575294,56.312240763292245,58.08774868654714,3.8955743151595206,2.549624226480028,-0.18021641389481705,0.7276867245515533,1067.5471915625712,399.94326140560935,19.87562377627257,8.08658293969233,"[0.2761957338365406, 0.3151333454536007, 0.1432005341380128, -1.4288661351754661, -0.20674554772677323]","[836.7783837587392, 993.0738586710913, 612.9724602544055, 1654.4808718865784, 1240.4303832420414]","[17.371992901573527, 26.970590848879024, 12.450581252835487, 29.831164396704814, 12.753789481369981]","[0.9930438157789155, 0.8897868213865546, 0.9985365393148954, 0.9689099539810817, 0.886569170294341]","[7.661936256348502, 109.79257187742704, 1.707146475615844, 36.2039234518703, 126.1956257551995]","[1.768898399605635, 5.995487024922212, 0.9163565901469323, 4.042789722635411, 6.754339838487414]",,
GPR,29.176,5.835,0.3,"[{""kernel"": ""RationalQuadratic"", ""alpha"": 1.4289723420980463e-10}, {""kernel"": ""RationalQuadratic"", ""alpha"": 6.556718124153109e-10}, {""kernel"": ""Matern_nu_0.5"", ""alpha"": 0.09864775063547042}, {""kernel"": ""RationalQuadratic"", ""alpha"": 5.002006886383159e-10}, {""kernel"": ""RationalQuadratic"", ""alpha"": 8.49854777943092e-09}]",0.9970200737945938,0.006663317563220923,3.476123800887062,7.772849116987741,0.518279533947543,1.1589080195863812,0.07942087870241654,0.12737477542315503,909.1601270952082,240.45417092598774,18.856241823749624,7.532690315473973,"[0.1645449759587242, 0.150879592929129, 0.16850673264630278, -0.1283606079496189, 0.04153369992754563]","[965.8560157788559, 1231.2459272597112, 594.8678705839311, 768.6100997526115, 985.2207221009319]","[17.91335136538027, 30.101256918194057, 10.47882131530714, 21.608244973145897, 14.179534546720765]","[1.0, 1.0, 0.9851003689729695, 1.0, 0.9999999999999989]","[5.028877174282233e-16, 2.6031457226258195e-15, 17.380619004434106, 5.146422760331296e-16, 1.2007891251446838e-12]","[7.68248271335339e-09, 2.0752992441129896e-08, 2.591397223119366, 1.3094087018963161e-08, 4.050887865463233e-07]",,
NNR,3751.425,750.285,3.503,"[{""hidden_layers"": 4, ""units"": 112, ""activation"": ""selu"", ""learning_rate"": 0.0003202650859372032}, {""hidden_layers"": 4, ""units"": 73, ""activation"": ""tanh"", ""learning_rate"": 0.00017826648516571652}, {""hidden_layers"": 2, ""units"": 41, ""activation"": ""selu"", ""learning_rate"": 0.0021810226379353984}, {""hidden_layers"": 3, ""units"": 74, ""activation"": ""selu"", ""learning_rate"": 0.0038795554678184314}, {""hidden_layers"": 1, ""units"": 61, ""activation"": ""selu"", ""learning_rate"": 0.004046300871922785}]",0.8944766930070444,0.12676159236112222,110.64323894273357,125.28179739532277,5.487016335675288,3.152166266653731,0.36415800320940644,0.4168845514298303,578.8823023091179,234.17828749191938,15.421123318589348,5.497168709831621,"[0.5635178724381941, 0.6017678619211559, 0.6065705021586396, -0.36886769409113374, 0.4178014736201763]","[504.6099150212256, 577.4466071365772, 281.46778428001517, 932.437314357655, 598.4498907501161]","[13.834494717093513, 20.403911717931063, 9.078659396916482, 21.842137653896607, 11.946413107109095]","[0.9826467538159638, 0.682527066837137, 0.9772476716840063, 0.9590577065823309, 0.8709042661157833]","[19.113850622271222, 316.2613606824054, 26.540895489738688, 47.67672765538346, 143.6233602638691]","[2.4933459114712995, 9.984682403120377, 3.131718087724849, 4.388896308675163, 7.436438967384751]",100.0,8.0
