Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.001,{},0.31070920214590886,733.256650412389,16.837753223282274,-0.39222963797530713,1203.8199492678807,21.988744384283773,"[-0.26882707351601054, -0.10907028980349409, -0.8662913399217129, 0.2459518658105193, -0.9629113524458375]","[1095.4653792656936, 1063.5625712185733, 965.5694695817122, 1203.3105550439464, 1691.1917712294776]","[16.781533714500316, 29.217166720764855, 15.26127853338528, 24.706244298739254, 23.97749865402916]","[0.3414303648386121, 0.24316517435133433, 0.30741571041294413, 0.22638922849132526, 0.4351455326353285]","[732.1137678089174, 759.6638498130011, 800.9734037984078, 735.337456064784, 638.1947745768341]","[17.383248888375586, 15.744782519491855, 17.76754512721341, 16.904967351830123, 16.388222229500396]",,
BayesianRidge,9.558,0.002,"{'max_iter': 416, 'alpha_1': 5.534286234126339e-06, 'alpha_2': 3.985147639670425e-07, 'lambda_1': 2.131064756113629e-06, 'lambda_2': 9.981941804986946e-06}",0.20596292534033522,844.0959759680197,18.072147581062723,-0.2838377044175239,1187.7662981900553,21.844863725824506,"[-0.07651237710217629, -0.4018203703481862, -0.3124734794169812, 0.01730518610217191, -0.6456874813224478]","[929.4269204065564, 1344.3004390084714, 679.0388479292193, 1568.185091023728, 1417.8801925823007]","[15.788098410029011, 32.87680577969305, 10.974009187008589, 26.919701709974618, 22.665703542417255]","[0.2552219475823221, 0.06534989184440154, 0.1753591763231256, 0.13120669607714297, 0.40267691487468393]","[827.9492965133028, 938.1438001099884, 953.696723102703, 825.8109652569499, 674.8790948571555]","[18.694237788382974, 17.45002592517671, 19.97859647017332, 17.668582981418776, 16.56929474016183]",,
SVR,2.104,0.001,"{'C': 0.9640267601121734, 'gamma': 0.00010483997117753519, 'epsilon': 0.12078912269905147}",0.007353232330467518,1062.5965365723118,20.221305443313852,-0.23499487283726017,1126.7529647289987,21.17362858179606,"[-0.10667241137876382, -0.41538075597999913, -0.6463689092857321, -0.008427412745104723, 0.0018751252032987997]","[955.4661451969874, 1357.3044106610182, 851.7874570116852, 1609.2491907776819, 859.9576199976209]","[15.791442592753702, 32.46749516716377, 11.558264947362822, 27.52981707114934, 18.52112313055067]","[0.008890243317569713, 0.0023214405362063095, 0.00522118997055443, 0.010773250761038522, 0.009560037066968619]","[1101.7894836574692, 1001.4078497360051, 1150.4612239629214, 940.2861336044067, 1119.0379919007573]","[21.357606439061737, 17.916123403424205, 22.227817742142182, 18.823226242099597, 20.781753389841544]",,
DecisionTree,2.383,0.001,"{'max_depth': 33, 'min_samples_split': 2, 'min_samples_leaf': 19}",0.2420048147799842,812.4280123941363,18.48133254414907,-0.13998701764595448,1078.9812432991457,21.20467184258451,"[-0.213794824273567, -0.3047753298797855, 0.037899072269712675, 0.06583072206206342, -0.28509472840819594]","[1047.9522665283046, 1251.2373809557034, 497.76541454217715, 1490.7480058269505, 1107.2031486425926]","[19.50360479119731, 32.743522763580344, 10.014520989052246, 23.72803166653053, 20.033679002562106]","[0.27562355969375674, 0.2045366495987565, 0.2027079583048017, 0.28777521245646975, 0.23938069384613647]","[805.2693849066611, 798.4367667450271, 922.0678696577821, 676.9884581585975, 859.3775825026137]","[19.16227400095734, 17.002947497162445, 19.731911131720576, 17.616227904500224, 18.89330218640476]",,
RandomForest,8.994,0.078,"{'n_estimators': 86, 'max_depth': 19, 'min_samples_split': 13, 'min_samples_leaf': 10}",0.35116045388858336,695.6499886353021,16.470833598546445,0.015482463881584918,933.700645550276,19.402448901635005,"[-0.09067940933605345, -0.1222321077993671, 0.059399459604538074, 0.12856603814380374, 0.10235833879500333]","[941.6582903568742, 1076.1843293869235, 486.64168634893616, 1390.6349432884165, 773.3839783702292]","[18.183645710221384, 30.281306435108867, 9.300796007779716, 22.751725616457147, 16.494770738607894]","[0.38269312795160904, 0.336004197640003, 0.30502717894743625, 0.38233643159791475, 0.3497413333059536]","[686.2430878382868, 666.4777972500759, 803.7357393101591, 587.1055236303584, 734.6877951476304]","[16.956351192615355, 14.33387949023231, 18.626300667003022, 15.695518496231761, 16.742118146649787]",,
XGBoost,5.61,0.029,"{'n_estimators': 51, 'learning_rate': 0.012515547818001047, 'max_depth': 7, 'subsample': 0.7107040740335221, 'colsample_bytree': 0.7203485001633878}",0.489574126844557,546.4085198260391,14.275866571144359,0.020333002299197343,924.8399756394314,18.98383329203377,"[0.123578778302601, -0.18951479519590286, 0.0022049411000121255, 0.14203574842299482, 0.023360338866281638]","[756.6745114941219, 1140.7062525362976, 516.2326080416409, 1369.1399699340209, 841.4465361910758]","[14.692764686912485, 30.26356429723087, 8.665647245546115, 23.87699707785793, 17.420193152621433]","[0.5107064093154701, 0.4727233692896107, 0.46190982293748806, 0.49574243931716966, 0.5067885933630465]","[543.9342403829794, 529.247573747122, 622.3010356316682, 479.31012019238415, 557.2496291760417]","[14.557429612100165, 12.953513941467273, 15.834398665069449, 13.378496861572398, 14.655493775512504]",,
GPR,11.972,0.087,"{'kernel': 'Matern_nu_0.5', 'alpha': 0.09864775063547042}",0.9886508090110138,12.225495484995003,2.0800854597761207,-0.004622416574965515,946.507944287486,18.74605006861765,"[0.14342330429013783, -0.24284965331394437, 0.07442334715653742, 0.18177984318972407, -0.17988892419728253]","[739.5413720450679, 1191.8526580951846, 478.8687267770143, 1305.7163149111511, 1016.5606496090121]","[13.117707111686586, 30.61960097112289, 8.812033750346643, 22.45874133214881, 18.722167177783323]","[0.988128640279323, 0.9914773212852238, 0.9891532590250132, 0.9889292763151782, 0.9855655481503303]","[13.197064410645025, 8.554536212887928, 12.544250814633626, 10.52301504969631, 16.30861093711212]","[2.200720603360293, 1.6150142810356416, 2.1642165432977793, 1.9246590055602155, 2.495816865626675]",,
NNR,1851.495,3.697,"{'hidden_layers': 2, 'units': 102, 'activation': 'relu', 'learning_rate': 0.00016031720032164793}",0.8133364033180117,197.61878486314603,7.308429048930336,-0.03787349286649848,932.749079212974,19.602856880544515,"[0.11928982767999474, 0.1682769458751624, -0.17498789887239785, 0.29916860006436874, -0.6011149390796204]","[760.3774565356599, 797.5955339525948, 607.9074676126091, 1118.3872522345603, 1379.4776857294457]","[14.007310089783347, 25.386297309853667, 11.22888094446504, 24.88689779925357, 22.504898259366936]","[0.7992016249576857, 0.7918521184353544, 0.797986983694617, 0.7663551292626103, 0.9112861602397909]","[223.22203617254772, 208.92593163151045, 233.6279579460013, 222.08561617564143, 100.23238239002919]","[7.633157427314997, 7.148598910489815, 8.242784435905518, 7.767457278396489, 5.75014719254486]",100.0,8.0
