Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.0,{},0.26698241014392626,917.3970222701882,19.984528757910677,-0.6085214639684581,2077.278830536,28.909202065937855,"[-0.6453041429704376, -1.1416044550710769, -0.3458388338236307, -1.3583271557199703, 0.4484672677428251]","[1674.2961936361737, 1802.3292169797771, 2144.422187661504, 4327.875992351204, 437.470562051341]","[23.03301603894344, 25.823600877985648, 38.63272704826609, 41.06871690380736, 15.987949460686732]","[0.2668115020468471, 0.3015362728737132, 0.20952093522398108, 0.4172033343728083, 0.13984000620228143]","[939.5557638558729, 943.3936023448141, 896.5671875730519, 646.1211811533198, 1161.3473764238822]","[21.550028600540543, 19.87062911876088, 19.472484623389242, 17.05427430518257, 21.975227141680154]",,
BayesianRidge,8.08,0.003,"{'max_iter': 100, 'alpha_1': 2.2066801004129123e-06, 'alpha_2': 2.2438733263619163e-06, 'lambda_1': 2.091231300663054e-06, 'lambda_2': 8.157608362467512e-06}",0.13707515436467677,1077.9628507731445,21.463796117288787,-0.21103451825810712,1493.2188377608957,25.060496952470526,"[-0.23818939518946602, -0.30896005225012213, -0.13739766303374434, -0.35498786114201697, -0.015637619675186176]","[1260.0076406685666, 1101.59321925368, 1812.297820144145, 2486.6013266821597, 805.5941820559277]","[19.636802218698787, 20.434115799084143, 32.227533501559044, 30.885346223281534, 22.11868701972913]","[0.147610401940108, 0.1951927513058288, 0.07671352721851099, 0.2626161738598498, 0.0032429174990862286]","[1092.3078609985694, 1087.0285457236573, 1047.1983296110384, 817.5052068911473, 1345.774310641311]","[22.71509448484905, 21.44648162763327, 21.2272201608328, 18.177306431661687, 23.75287788146712]",,
SVR,1.916,0.001,"{'C': 9.120295611768455, 'gamma': 0.007062591583498534, 'epsilon': 0.00571027915934782}",0.2227899167287773,974.0257085353071,15.588224728197321,-0.29333279187348416,1689.9970344254311,24.977144262659117,"[-0.12688379254313586, -0.6468552429711114, -0.360238410482032, -0.823162152480911, 0.49047563910976955]","[1146.740712096516, 1385.9586972350849, 2167.366072845348, 3345.7697719113216, 404.1499180388848]","[17.512787560834774, 24.505823273784788, 37.93537650073448, 30.522057902418016, 14.409676075523528]","[0.19931338703659718, 0.1983836130094524, 0.23797136587414758, 0.34784237689263164, 0.13043884083105772]","[1026.052269439815, 1082.71874637366, 864.2984992169731, 723.0186419937786, 1174.0403856523087]","[15.966859819084945, 13.972823137358926, 18.7777256157897, 12.830520624723551, 16.393194444029486]",,
DecisionTree,2.28,0.002,"{'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 20}",0.09167206400211698,1134.339735168451,22.580873784192935,-0.2037907979385821,1507.848985808091,26.214657583525053,"[-0.3121644718408232, -0.1773235009556824, -0.28521605161135155, -0.3294252153037993, 0.08517525001874582]","[1335.2862387262492, 990.8106693487996, 2047.8275316101247, 2439.6901248347535, 725.6303645205284]","[21.288542593265607, 18.991064324333827, 36.81706215800684, 33.00757205288351, 20.96904678913545]","[0.10132625074359225, 0.04437663012168758, 0.1438790715813919, 0.1134463127422054, 0.05533205482170778]","[1151.619403873648, 1290.731269759109, 971.0186736345654, 982.8833096537725, 1275.4460189211595]","[24.182909995645428, 23.82218545994805, 20.80122244558932, 20.5792862819262, 23.518764737855676]",,
RandomForest,10.342,0.133,"{'n_estimators': 165, 'max_depth': 8, 'min_samples_split': 6, 'min_samples_leaf': 10}",0.1845584601104529,1016.816925090801,20.778531451429757,-0.11827225320792827,1388.2322066821835,24.405408051189376,"[-0.31197632189662383, -0.036304079071282525, -0.18512686770871478, -0.16438376873921934, 0.10642977137619913]","[1335.0947733751457, 872.1316931158071, 1888.3482081491152, 2136.8148801523853, 708.7714786184642]","[20.35039343355585, 16.850317716159115, 33.6321028734254, 30.114749054940592, 21.079477177865915]","[0.231200662384624, 0.14407403260531781, 0.1860224334215419, 0.20235111321918908, 0.15914405892159178]","[985.1898262474612, 1156.0730362379184, 923.2193616937705, 884.3184446119145, 1135.28395666294]","[21.51471822708442, 22.00371279654879, 20.035489313632283, 19.029132652441405, 21.309604267441888]",,
XGBoost,4.03,0.027,"{'n_estimators': 77, 'learning_rate': 0.010080429950674999, 'max_depth': 9, 'subsample': 0.6346309545504236, 'colsample_bytree': 0.7723858400590301}",0.5117322934683786,608.006273110023,15.688452540467244,0.07543264973401884,1168.1797608457669,21.649670276564244,"[0.0025103753003795637, 0.23188896805205483, 0.1044365166366299, -0.14828272678182164, 0.18661011546285156]","[1015.0664781108242, 646.4260715774064, 1426.9659604988838, 2107.267108219959, 645.1731858217606]","[16.712975543737944, 16.032331782945842, 24.593388501044906, 31.05465158117037, 19.85500397392217]","[0.5423075616699007, 0.49799754432373555, 0.4971103874027205, 0.5181146261233426, 0.5031313478221942]","[586.517068539406, 678.039369338283, 570.3811090225382, 534.245244204719, 670.8485744451693]","[16.028833801924417, 16.671908938681035, 15.162691439788938, 14.584581808592265, 15.994246713349568]",,
GPR,8.579,0.064,"{'kernel': 'Matern_nu_2.5', 'alpha': 0.0003229028455461766}",0.9999997535026726,0.0003083609925845681,0.009640231708289286,0.06009459976075282,1146.7389077004427,21.079931790495394,"[-0.12049658397193963, -0.010765607288104606, 0.1708295902674789, -0.00023817714230989218, 0.2611437769386393]","[1140.2409539548958, 850.6390529866532, 1321.1770824973933, 1835.5836606417606, 586.0537884215113]","[18.314467749859958, 17.84960920730684, 22.774794047780393, 29.395222002037357, 17.065565945492423]","[0.9999996531060719, 0.9999996398332516, 0.9999998891634071, 0.999999690825675, 0.9999998945849573]","[0.00044453260053092575, 0.0004864662158406937, 0.00012571168146048624, 0.00034276805589816606, 0.0001423264091925688]","[0.011545911510824831, 0.011859967089429824, 0.007242638942832646, 0.010079379181160544, 0.007473261817198584]",,
NNR,1037.6,2.124,"{'hidden_layers': 1, 'units': 116, 'activation': 'relu', 'learning_rate': 2.4759421402959167e-05}",0.1092798653838116,1107.7746340093665,21.832009443148152,-0.2581871166106645,1544.2778981605302,25.363160383537867,"[-0.3358969509649119, -0.41872210110318164, -0.28649984921767, -0.2798807786822708, 0.03006409691471179]","[1359.43690997617, 1193.9666484810045, 2049.873099030434, 2348.7688218726894, 769.3440114423528]","[19.128561466562406, 21.60092807630984, 34.99098133485886, 30.14748095051043, 20.947850089447805]","[0.0451091268374082, 0.20341657995116713, 0.15643373056613752, 0.06074596944825328, 0.08069392011609189]","[1223.6597085714313, 1075.9208717966053, 956.7790867834177, 1041.3098760096887, 1241.2036268856893]","[23.082454941732482, 22.713967734100507, 20.302909455423535, 19.793961058529433, 23.266754025954814]",100.0,8.0
