Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.001,{},0.3590228282099169,797.0131496660247,18.726544450619176,-0.9657743748456364,2376.4658377928167,32.11968461459442,"[-0.9091781086356878, -1.1185245540599715, -0.86962046184125]","[1874.7740555189218, 2507.888179689616, 2746.735278169913]","[25.149003467856364, 37.0581874972712, 34.15186287865569]","[0.27591908390602915, 0.41719928307718046, 0.3839501176465411]","[965.4402647115882, 726.5070879914673, 699.0920962950187]","[22.843766631614983, 16.27093645672146, 17.06493026352109]",,
BayesianRidge,6.834,0.002,"{'max_iter': 355, 'alpha_1': 2.1547060837905507e-07, 'alpha_2': 1.2019205827391504e-07, 'lambda_1': 4.066705814145604e-06, 'lambda_2': 1.0647354512439449e-07}",0.12128549784038578,1086.7926531498276,21.493178224888496,-0.26059759538591604,1510.815909063771,26.273627793462918,"[-0.14295090317513726, -0.6356598612185826, -0.0031820217640281534]","[1122.3545306288415, 1936.2777854434628, 1473.8154111190092]","[18.11989413508171, 32.82961675167384, 27.871372493633196]","[0.010325632424997844, 0.3522715259292294, 0.001259335166930109]","[1319.5645157507274, 807.4446613431862, 1133.3687823555692]","[25.27391492876909, 17.99246710820197, 21.213152637694417]",,
SVR,1.604,0.0,"{'C': 0.25326336382150166, 'gamma': 0.0001485803483069125, 'epsilon': 0.086281563523446}",0.0007066711310323622,1237.38188115156,23.3971955816591,-0.06591099061144871,1283.2102885299566,24.016253598228918,"[-0.10418147437471137, -0.08769475342190236, -0.005856744037732398]","[1084.2837404110198, 1287.602171043792, 1477.744954135058]","[17.791521220222446, 26.16015202810852, 28.09708754635579]","[-0.0008368725957286216, 0.002894250757162431, 6.263523166327722e-05]","[1334.4478410290528, 1242.9710075286287, 1134.7267948969984]","[25.700660304877392, 23.111425485933054, 21.379500954166858]",,
DecisionTree,1.894,0.002,"{'max_depth': 38, 'min_samples_split': 6, 'min_samples_leaf': 20}",0.06964265349002934,1150.6092715114935,23.035164728546178,-0.09698822497356747,1314.2392616718728,24.703129781342785,"[-0.06314175610361827, -0.31154748386052833, 0.08372456504344417]","[1043.9835721279082, 1552.5967945813882, 1346.1374183063217]","[17.343387464952325, 30.50846032645457, 26.257541552621465]","[0.044424405242716514, 0.15181664993459343, 0.01268690529277805]","[1274.0995303827021, 1057.3274840711476, 1120.4008000806311]","[26.071546055112982, 21.87422065059834, 21.159727479927216]",,
RandomForest,6.21,0.132,"{'n_estimators': 156, 'max_depth': 34, 'min_samples_split': 14, 'min_samples_leaf': 10}",0.1609755124578233,1038.0209238952953,21.216443297911567,-0.21409207358900195,1465.1885122421638,25.658298530963986,"[-0.18380491435568236, -0.32730325725025455, -0.13116804916106894]","[1162.4723383277258, 1571.2483215463403, 1661.8448768524254]","[17.752077474438803, 30.227574537494966, 28.995243580958185]","[0.1521514564722819, 0.20052386241402975, 0.13025121848715826]","[1130.4636044191834, 996.610099766174, 986.9890675005286]","[22.942988224883752, 20.781572892822208, 19.92476877602874]",,
XGBoost,3.825,0.047,"{'n_estimators': 77, 'learning_rate': 0.01074299543894219, 'max_depth': 9, 'subsample': 0.893495932364802, 'colsample_bytree': 0.6516455676329154}",0.6173744789568851,473.58477288890725,13.8017732484924,0.06138851985103425,1150.446930357531,20.925719582949437,"[0.11599884955527329, 0.10683544360364616, -0.038668733605816685]","[868.0711424493406, 1057.3192693053518, 1525.9503793179008]","[15.526124805715021, 20.69383901648433, 26.557194926648965]","[0.6194925796755416, 0.618873462682016, 0.6137573945130977]","[507.3427243248781, 475.10430708654843, 438.3072872552953]","[15.18122431486585, 13.924821743302326, 12.299273687309025]",,
GPR,7.306,0.044,"{'kernel': 'RBF_default', 'alpha': 1.3702832781222453e-10}",1.0,4.940866069921825e-17,3.945415426120708e-09,-0.12020583939006883,1365.7086908636459,22.58184352013873,"[-0.14154772135937588, 0.004817015485417464, -0.22388681229624807]","[1120.9766346371232, 1178.087664223364, 1798.061773730451]","[18.141450525009127, 23.646852325947474, 25.95722770945959]","[1.0, 1.0, 1.0]","[9.730578384680895e-17, 2.3406651571684627e-17, 2.7513546679161193e-17]","[5.453174138638917e-09, 3.1677665242928973e-09, 3.2153056154303086e-09]",,
NNR,573.793,1.931,"{'hidden_layers': 3, 'units': 38, 'activation': 'relu', 'learning_rate': 3.399517726187704e-05}",0.01665803655161154,1214.1379783242671,25.048814824723816,-0.2189515349027398,1462.9594499782663,27.500680655369052,"[-0.09639411500851347, -0.5750266330589626, 0.014566143359256656]","[1076.63671196736, 1864.5007763422361, 1447.7408616252035]","[19.74219175926324, 32.98880953028005, 29.771040676563874]","[0.04355860491928176, 0.06205422594465737, -0.055638721209104514]","[1275.2539296699438, 1169.223429581146, 1197.9365757217113]","[28.816004509421816, 23.21635014776171, 23.11408981698792]",100.0,8.0
