Model,Total Optimization Time (s),Avg Optimization Time per Fold (s),Avg Retraining Time (s),Best Params Per Fold,Avg Train R2,Std Train R2,Avg Train MSE (original units),Std Train MSE (original units),Avg Train MAPE (%),Std Train MAPE (%),Avg Test R2,Std Test R2,Avg Test MSE (original units),Std Test MSE (original units),Avg Test MAPE (%),Std Test MAPE (%),All Fold Test R2,All Fold Test MSE (original units),All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE (original units),All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.0,0.001,"[{}, {}, {}, {}, {}, {}]",0.4423424516090052,0.1383385625984325,633.7164364686026,215.8134699282433,16.149857181152115,4.6389808461656274,-0.8582456868590209,,2072.129978801039,,29.757617085335408,,"[0.0775039438154077, -0.8066063372617764, -0.08190135649571695, -3.237001264168705, -34.68825915532682, -0.9895359433559576]","[502.09501457613, 1393.3511596342694, 1127.9382877796534, 2305.0471465463597, 5960.658825352879, 1035.8511550058233]","[9.972764523122047, 18.109142205154797, 21.28233454284568, 21.48335235078033, 93.19311106700083, 18.688167540153007]","[0.35536438180304286, 0.38692779280419554, 0.3247364040836689, 0.4553631680979954, 0.7082253331703269, 0.4234376296948018]","[778.7816254303118, 666.2678205106765, 712.9391397553239, 705.8135115596784, 199.80440690660646, 738.6921146490187]","[18.944107497280132, 17.338924876818453, 17.111721543433553, 18.41105560305049, 6.785814580648307, 18.30751898568176]",,
BayesianRidge,12.092,2.015,0.002,"[{""max_iter"": 101, ""alpha_1"": 9.886949453790298e-06, ""alpha_2"": 9.175666731828416e-06, ""lambda_1"": 1.8110115955591892e-07, ""lambda_2"": 9.98515954361455e-06}, {""max_iter"": 202, ""alpha_1"": 1.3649209136328497e-06, ""alpha_2"": 2.7551239194956015e-07, ""lambda_1"": 9.918904949014405e-06, ""lambda_2"": 1.1385061869083856e-06}, {""max_iter"": 409, ""alpha_1"": 2.914806924257286e-06, ""alpha_2"": 7.066558525756119e-07, ""lambda_1"": 9.895396580333164e-06, ""lambda_2"": 3.2192139677234115e-07}, {""max_iter"": 315, ""alpha_1"": 8.910986133743858e-06, ""alpha_2"": 8.981660886798296e-07, ""lambda_1"": 5.305932092405408e-07, ""lambda_2"": 5.902270517682028e-07}, {""max_iter"": 333, ""alpha_1"": 1.1782312877372284e-07, ""alpha_2"": 1.347355037376342e-06, ""lambda_1"": 9.665264335344212e-06, ""lambda_2"": 3.3567013023822777e-06}, {""max_iter"": 383, ""alpha_1"": 9.84639245442624e-06, ""alpha_2"": 6.12455674387393e-07, ""lambda_1"": 1.0758647089421923e-07, ""lambda_2"": 8.460328065827905e-06}]",0.4217975831493213,0.1462446669369951,657.8314870682738,226.95924201576543,16.454938335548604,4.809206678816302,-0.5465890155452804,,1724.6015888311838,,27.413370717157587,,"[0.11143256818048575, -0.5395229702024547, 0.14518745008286837, -1.2155976217987314, -34.16456013682503, -0.8082397827707812]","[483.62838479389586, 1187.362222511877, 891.1864266896367, 1205.3470503327935, 5873.1905304474, 941.459375873901]","[9.328434882647581, 15.42178344069065, 16.90558040916245, 16.8749082430858, 93.02012269387464, 16.737123585073732]","[0.32528728631883785, 0.3688477065729239, 0.30081246693020713, 0.4309208061008142, 0.7040408440145839, 0.40087638895856137]","[815.1176401465436, 685.9166962981694, 738.1978850466411, 737.4892050521586, 202.66990370608846, 767.5975921600417]","[19.24660090613017, 17.477927658174032, 17.34784612144104, 19.118960560748278, 6.7800719656361075, 18.758222801162]",,
SVR,5.767,0.961,0.006,"[{""C"": 1244.6170081603366, ""gamma"": 0.06373189267941241, ""epsilon"": 0.0018506121972342675}, {""C"": 1985.731556742904, ""gamma"": 0.7968410887354415, ""epsilon"": 0.04456730940796722}, {""C"": 9643.4111720884, ""gamma"": 0.8315950903580619, ""epsilon"": 0.0039190323516852706}, {""C"": 717.9593152113126, ""gamma"": 0.0338688382168888, ""epsilon"": 0.04590396903092142}, {""C"": 8126.845196448169, ""gamma"": 0.0005401910768894825, ""epsilon"": 0.0018503828049151712}, {""C"": 9781.869983149396, ""gamma"": 0.31252239453968167, ""epsilon"": 0.3799185631649615}]",0.937701528198416,0.0986000128475554,54.94942725465015,73.99522380326745,3.010208018411547,3.185122496215829,-0.8531128825334515,,2066.40638810819,,28.39165725366358,,"[-4.140619889450316, -1.2032756378846776, -0.6338429367199285, -0.6421727261771673, -30.376340128429305, -0.44543164289764015]","[2797.9302469857107, 1699.2836799706838, 1703.366017132868, 893.387875198948, 5240.481410981929, 752.5634516820612]","[26.728901070913636, 16.63117517829408, 16.5533097580975, 17.515110516722796, 87.4950041387963, 9.06266209199692]","[0.9900760283165346, 0.998072298378313, 0.9999846079879446, 0.9854527283964928, 0.7513205157281805, 0.9013029903830304]","[11.989109165252874, 2.0949662095285295, 0.016250791394913446, 18.85230717545607, 170.2932519970186, 126.45067818924998]","[0.8636042535660604, 1.1748198511570072, 0.10348403506134564, 2.4215196851615803, 5.017280316062789, 8.480539969460501]",,
DecisionTree,6.238,1.04,0.001,"[{""max_depth"": 10, ""min_samples_split"": 20, ""min_samples_leaf"": 10}, {""max_depth"": 5, ""min_samples_split"": 4, ""min_samples_leaf"": 3}, {""max_depth"": 6, ""min_samples_split"": 4, ""min_samples_leaf"": 8}, {""max_depth"": 48, ""min_samples_split"": 3, ""min_samples_leaf"": 20}, {""max_depth"": 12, ""min_samples_split"": 4, ""min_samples_leaf"": 14}, {""max_depth"": 36, ""min_samples_split"": 12, ""min_samples_leaf"": 19}]",0.5348992445347622,0.1721512655471408,533.272885864697,269.5435169128721,13.3618421878502,4.731486250627461,-0.6754128614524186,,1868.253074195228,,28.772966518622567,,"[0.3519836056727679, 0.26059009698202595, 0.7862403385263715, -1.2868874214494612, -42.435531976560235, -1.2789949611740714]","[352.70156308418603, 570.2723524022891, 222.85553586869662, 1244.1306944757503, 7254.609586955349, 1186.5578858568272]","[10.140930136759902, 13.407759179500792, 8.26436776935612, 19.183152306904407, 102.36346269614984, 17.079661524639906]","[0.4210348305091952, 0.805995857126439, 0.5649560818238701, 0.37589357748601404, 0.6533011810839915, 0.3882139391790633]","[699.4454278290036, 210.83767283080647, 459.3166855965179, 808.8008740121408, 237.41592318970015, 783.8207317300125]","[15.314582339736024, 8.259394954534075, 12.10872773137648, 18.00015635474575, 7.813871831529857, 18.674319915178987]",,
RandomForest,30.002,5.0,0.105,"[{""n_estimators"": 50, ""max_depth"": 32, ""min_samples_split"": 2, ""min_samples_leaf"": 5}, {""n_estimators"": 102, ""max_depth"": 9, ""min_samples_split"": 4, ""min_samples_leaf"": 1}, {""n_estimators"": 170, ""max_depth"": 26, ""min_samples_split"": 3, ""min_samples_leaf"": 2}, {""n_estimators"": 128, ""max_depth"": 34, ""min_samples_split"": 8, ""min_samples_leaf"": 10}, {""n_estimators"": 136, ""max_depth"": 25, ""min_samples_split"": 6, ""min_samples_leaf"": 8}, {""n_estimators"": 83, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 1}]",0.7322996692385667,0.1666138641799087,300.9447666043825,227.65520519745428,9.451598373624384,4.184032295681237,-0.8401106795526876,,2051.9076300712827,,29.295928912274604,,"[0.13418109495413788, -0.51744850021804, 0.23252158304980697, -0.9305784510654249, -42.97475777980892, -2.030650106539003]","[471.2468447261334, 1170.3372139548308, 800.1360626134556, 1050.2886528369606, 7344.671167964479, 1577.906860019608]","[9.902070656726265, 14.557392297744624, 14.511257056828041, 16.530197675217853, 103.33889685620366, 18.961688544064245]","[0.6364793732220491, 0.877377739801882, 0.8184395162919003, 0.45585508364669214, 0.7168495569782395, 0.8887967454906374]","[439.167766421931, 133.26206128636304, 191.69043889114323, 705.1760213634976, 193.89862371544365, 142.47368794791691]","[12.147418960476182, 6.319853509696418, 6.99139513621676, 16.820614963796185, 6.994946081600261, 7.435361589960497]",,
XGBoost,14.609,2.435,0.049,"[{""n_estimators"": 134, ""learning_rate"": 0.21118363077691715, ""max_depth"": 3, ""subsample"": 0.8457768099303525, ""colsample_bytree"": 0.8753952524413892}, {""n_estimators"": 121, ""learning_rate"": 0.02900236232436072, ""max_depth"": 8, ""subsample"": 0.9391732233145332, ""colsample_bytree"": 0.9443320985995514}, {""n_estimators"": 53, ""learning_rate"": 0.16611395187950864, ""max_depth"": 3, ""subsample"": 0.8793368465221973, ""colsample_bytree"": 0.8464568356109101}, {""n_estimators"": 122, ""learning_rate"": 0.0667617136580305, ""max_depth"": 4, ""subsample"": 0.6400498835457639, ""colsample_bytree"": 0.7724947146599035}, {""n_estimators"": 143, ""learning_rate"": 0.42697041956861026, ""max_depth"": 8, ""subsample"": 0.8453215443464656, ""colsample_bytree"": 0.6137723696302129}, {""n_estimators"": 57, ""learning_rate"": 0.04865096313997731, ""max_depth"": 10, ""subsample"": 0.6367696251556382, ""colsample_bytree"": 0.780906041611043}]",0.9830765474916724,0.0246376116701232,20.67821727825624,31.6993527635261,2.040676500874043,1.9349371571298888,-0.9117337975504418,,2131.774577175145,,30.259168000145813,,"[-0.014806902606201211, 0.2583699774006867, -0.35052036267202946, -1.2058064446298502, -44.50329819693101, -1.9663468137407762]","[552.3378481024753, 571.9846270297957, 1407.9875363294045, 1200.020376209441, 7599.9682360442885, 1544.4273743444885]","[11.197631319288671, 12.384831815265995, 16.76444009555637, 17.88841968152518, 104.24681949887167, 20.099498857452932]","[0.9999153570020896, 0.9878934647024059, 0.9832695639289906, 0.9927615712094872, 0.9999997633225159, 0.9346195647845459]","[0.10225685586284829, 13.157006290594033, 17.663891215712535, 9.380527616842771, 0.00016207440092365553, 83.7654596161243]","[0.2100215217780119, 2.0216423768091567, 2.7813591319753495, 1.9168913652879545, 0.007126270709274955, 5.307018338684511]",,
GPR,38.762,6.46,0.591,"[{""kernel"": ""RationalQuadratic"", ""alpha"": 7.415543855832677e-10}, {""kernel"": ""RationalQuadratic"", ""alpha"": 9.134446879231306e-09}, {""kernel"": ""RationalQuadratic"", ""alpha"": 7.415543855832677e-10}, {""kernel"": ""RationalQuadratic"", ""alpha"": 1.0371369419050303e-10}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.028700648191885916}]",0.992418534324322,0.0176447537798671,5.383003081975734,12.018269923524915,0.6420556354979493,1.1582592064340738,-0.6603465033941374,,1851.4525765943508,,26.5912237760382,,"[0.16024815634491096, -0.8899022577536968, -0.5382691210182411, 0.021508504825755614, -43.39734198276007, -0.4989562434098813]","[457.05909673392074, 1457.5934159667313, 1603.7253563721692, 532.3267302148879, 7415.251249996849, 780.4310151945394]","[10.388801569996819, 15.784435370484193, 16.26013561012988, 12.950279885765003, 102.17870769699475, 9.995169078320746]","[1.0, 0.9999999999999939, 1.0, 1.0, 0.9564356219659753, 0.9980755839799623]","[3.2429832697885066e-14, 6.630874163799374e-12, 2.7680090215776172e-14, 2.604266517073894e-16, 29.83245533247331, 2.465563159374405]","[5.837529046925625e-08, 7.806510363116579e-07, 5.083282608700211e-08, 6.3645259324527775e-09, 2.8645161080601307, 0.987816808703886]",,
NNR,4018.903,669.817,3.29,"[{""hidden_layers"": 2, ""units"": 93, ""activation"": ""selu"", ""learning_rate"": 0.0009528064830766159}, {""hidden_layers"": 4, ""units"": 104, ""activation"": ""selu"", ""learning_rate"": 0.009056520739342624}, {""hidden_layers"": 3, ""units"": 99, ""activation"": ""selu"", ""learning_rate"": 0.0020852870621313304}, {""hidden_layers"": 3, ""units"": 79, ""activation"": ""selu"", ""learning_rate"": 0.00045733950286199225}, {""hidden_layers"": 2, ""units"": 64, ""activation"": ""selu"", ""learning_rate"": 0.00026262020574126076}, {""hidden_layers"": 4, ""units"": 88, ""activation"": ""selu"", ""learning_rate"": 0.00026784183648563976}]",0.9031439355117402,0.0640412188456361,102.849034171465,67.10484476932139,5.682557955434799,2.120923013702128,-0.8721819325743458,,2087.6702879985137,,29.828544344950732,,"[0.518109227374469, -2.551766030448235, -1.318175879038026, -0.7646093874215885, -42.8021571249775, -0.4372141331457109]","[262.2829147977443, 2739.3113902033024, 2416.8186092708675, 959.9968420219702, 7315.843378634524, 748.2850082610044]","[8.531799489178388, 26.40116070143105, 24.809008158549744, 17.541688204431953, 101.23701068659958, 13.914965573235815]","[0.8595682615178534, 0.9743223285334986, 0.9583748075430665, 0.9479451717997489, 0.8263215038692613, 0.8523315398070125]","[169.65500271769946, 27.905695288370755, 43.94762146495608, 67.45963352743964, 118.93331689447572, 189.19293513584842]","[7.760161524120171, 3.1896041102732697, 4.247225145952917, 4.616638152423696, 5.639082921687875, 8.642635878150864]",100.0,8.0
Ridge,5.854,0.976,0.002,"[{""alpha"": 8.848676090187187}, {""alpha"": 8.61362229392922}, {""alpha"": 20.337365655651265}, {""alpha"": 5.645544499650352}, {""alpha"": 3.1039015304642756}, {""alpha"": 7.450657024121889}]",0.413418228359032,0.15280180524642023,666.9770683710458,230.46098064985543,16.52823534942121,4.836834556574945,-0.49297927512255857,,1664.821361129737,,27.060495026255037,,"[0.110522242651242, -0.4889476739488521, 0.16097584906548168, -0.7852363143139249, -34.170948357891994, -0.8286750777786211]","[484.12385564909397, 1148.3558566919653, 874.7262017270651, 971.2184669427098, 5874.2574921648475, 952.0990046815363]","[9.375060272521027, 14.773797687339204, 16.147010137182594, 15.64986570890329, 93.0210758101437, 17.02533994391192]","[0.3287951414348914, 0.35830302705762085, 0.2651881358764093, 0.4163946954976626, 0.7041572138225745, 0.4076711564650334]","[810.8798148822567, 697.3763262670103, 775.8098340535892, 756.3140889629834, 202.59021481218952, 758.892131248246]","[19.218237042691495, 17.536169182965125, 17.635498778277046, 19.352961252468482, 6.7799004594494425, 18.646645380675672]",,
Lasso,6.505,1.084,0.002,"[{""alpha"": 1.2908930245162207}, {""alpha"": 2.6474393363217743}, {""alpha"": 2.731796825728517}, {""alpha"": 2.2452575183067913}, {""alpha"": 0.6225200367991524}, {""alpha"": 1.328950741180595}]",0.00935741816745376,0.022920899820110897,1095.6894094452875,241.13529372085338,20.803974569754395,4.074030114767357,-0.21120990818902463,,1350.6203077062444,,23.209793223570653,,"[-0.40488700847288217, -0.8766998452559418, -0.7444672552804461, -0.03125980824098806, -23.475991382272433, -0.04217598798407862]","[764.6501665432148, 1447.4110113197958, 1818.697607868733, 561.0341678291239, 4087.9840455940885, 542.6085437047554]","[12.9758955375911, 15.308830316662528, 16.58616501872551, 12.672102338565146, 81.29470935076341, 7.943174109085023]","[0.0, 0.0, 0.0, 0.0, 0.056144509004722454, 1.1102230246251565e-16]","[1208.0958660158437, 1086.768920023612, 1055.7938323150195, 1295.934226656698, 646.3429078095558, 1281.2007038509962]","[22.257192349168466, 21.06398659421171, 20.892189274076078, 23.30493447184759, 12.939138031188838, 24.366406698033703]",,
