Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.001,{},0.32863998987030246,725.0068861162594,16.73182914499125,-0.0038689723851730675,1049.0306564634468,20.54392470215453,"[0.04581815260246502, -0.06405337786814003, 0.006628308110155801]","[1086.8483257372625, 684.4042953838931, 1375.8393482691852]","[23.44796828588029, 13.65109336513783, 24.53271245544547]","[0.3166907280686656, 0.2900972465619235, 0.37913199498031835]","[708.0051368821989, 896.193482394878, 570.8220390717013]","[15.555092795311426, 19.599732415063787, 15.040662224598533]",,
BayesianRidge,7.779,0.001,"{'max_iter': 269, 'alpha_1': 2.5883029831229657e-07, 'alpha_2': 1.0334179265915334e-06, 'lambda_1': 7.010023302033434e-06, 'lambda_2': 1.0577152234514278e-07}",0.1692164565261124,904.4030849296536,18.739299103208158,-0.0028372751710312727,1051.6582873615691,20.10805189799062,"[0.04645609265636397, -0.04785966923906182, -0.007108248930395966]","[1086.1216884810708, 673.9884234225244, 1394.8647501811122]","[23.48265251253114, 11.900178558676304, 24.941324622764423]","[0.13359488625410953, 0.06535004760324081, 0.3087044357209868]","[897.7183485587748, 1179.9182234496334, 635.5726827805526]","[17.564274681661075, 23.017848852949697, 15.6357737750137]",,
SVR,1.741,0.0,"{'C': 0.10999088306026505, 'gamma': 0.18123689135380716, 'epsilon': 0.04791299064683458}",0.1632914985484792,897.3482756137246,17.3979624880433,-0.0004997210870617182,1040.6784216214521,19.8293207509824,"[0.05743680799576856, -0.08281177294069075, 0.02387580168373704]","[1073.61424861038, 696.4697861094464, 1351.9512301445302]","[23.036011008268108, 11.91825034388176, 24.533700900797335]","[0.15510473023005567, 0.16737011423574255, 0.1673996511796394]","[875.4311052063462, 1051.1263313957672, 765.4873902390605]","[15.892709538856964, 20.478148508187008, 15.823029417085927]",,
DecisionTree,1.995,0.0,"{'max_depth': 36, 'min_samples_split': 16, 'min_samples_leaf': 14}",0.30048291728898807,755.3889128606194,17.773321874520267,-0.0044683468977368595,1102.7995214377813,21.67997217964584,"[-0.09963545598843382, 0.19826982546190652, -0.11203941016668328]","[1252.5253519777325, 515.6767382216295, 1540.1964741139816]","[27.253618680435316, 12.893720533895673, 24.89257732460653]","[0.3242578170321384, 0.24821317251083452, 0.32897776232399123]","[700.1645614978776, 949.0686600145468, 616.9335170694338]","[16.389328192401955, 20.1694845543543, 16.76115287680454]",,
RandomForest,7.499,0.154,"{'n_estimators': 187, 'max_depth': 46, 'min_samples_split': 8, 'min_samples_leaf': 10}",0.33574015709940924,718.1760532144059,16.82640390294534,0.14139874796492344,931.959633871152,19.26244773621031,"[0.0777667758675249, 0.2655761558359744, 0.08085331219127101]","[1050.4576651939433, 472.3849799577429, 1273.0362564617699]","[25.012056151871352, 10.495426103853513, 22.27986095290606]","[0.4071597340580678, 0.2619559787438781, 0.33810475849628197]","[614.2664396330273, 931.7195043503074, 608.5422156598831]","[14.051083915194907, 20.563830483919684, 15.864297309721428]",,
XGBoost,3.895,0.044,"{'n_estimators': 90, 'learning_rate': 0.017971353917005526, 'max_depth': 8, 'subsample': 0.8380105661735503, 'colsample_bytree': 0.701038984538299}",0.848031493080278,163.60583324682537,7.555938516595883,0.34237698356771123,744.1325054684586,15.932025819333012,"[0.29984567063818734, 0.5580581284761146, 0.16922715158883173]","[797.5016111447225, 284.25915604623566, 1150.6367492144177]","[20.028680569766482, 8.051540065003314, 19.715856823229235]","[0.8548892902250497, 0.8404789014906175, 0.848726287525167]","[150.35523760258735, 201.38218663924374, 139.08007549864502]","[6.7540341950196785, 8.865985917484903, 7.047795437283069]",,
GPR,8.303,0.052,"{'kernel': 'RBF_default', 'alpha': 4.879985735704925e-09}",1.0,4.861098915695131e-14,1.2029004553633343e-07,0.07763114597910126,920.7886521876293,17.50566503716931,"[0.135153770993776, -0.15580569909594533, 0.2535453660394731]","[985.0917606316516, 743.419833575751, 1033.8543623554854]","[20.934659738638516, 12.681686323584826, 18.90064904928459]","[1.0, 0.9999999999999999, 1.0]","[2.5702911992519424e-14, 8.555505820694453e-14, 3.457499727138996e-14]","[9.381246479855014e-08, 1.6043558126428917e-07, 1.0662209054616095e-07]",,
NNR,930.624,3.244,"{'hidden_layers': 4, 'units': 116, 'activation': 'relu', 'learning_rate': 0.0035879373800999713}",0.9890323273623531,11.374271391441177,1.1944188321483782,-0.016102342464063724,1023.2324306351117,18.364137116605402,"[0.32599326342608637, -0.3298114891560828, -0.04448880166219471]","[767.7185383257445, 855.3412020106942, 1446.6375515688965]","[17.942933117668076, 16.328128408146064, 20.821349824002066]","[0.9673165731568822, 0.9998359687838866, 0.9999444401462909]","[33.8646569662913, 0.2070758369061532, 0.0510813711260754]","[3.24357478045004, 0.20158036366065385, 0.13810135233444093]",100.0,8.0
