Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.002,{},0.41048095666646195,597.5100618577584,17.093999993823775,-0.18213021176725874,1180.6640269339568,22.432795292416042,"[0.08499652280632497, -0.23973920776900282, -0.3916479503390984]","[842.3190760497133, 1598.3162565019875, 1101.35674825017]","[18.853978675428127, 26.019099460448615, 22.425307741371387]","[0.3967253699105273, 0.3976520764504665, 0.43706542363839196]","[646.6210514246011, 520.3188465601281, 625.5902875885461]","[17.249983382818627, 15.715966136340043, 18.31605046231266]",,
BayesianRidge,8.832,0.001,"{'max_iter': 386, 'alpha_1': 1.224648287506877e-07, 'alpha_2': 5.3911786823601445e-06, 'lambda_1': 7.048583014463657e-06, 'lambda_2': 1.0830631015061496e-07}",0.2747357832042507,737.9765245420452,18.87389657594165,-0.055325066369993535,1066.551501197353,22.558844988281393,"[0.03903583413841727, -0.1449053518650627, -0.06010568138333516]","[884.6288221635701, 1476.053047749557, 838.972633678932]","[20.507837745050868, 26.765195920463654, 20.403501299329662]","[0.28564399119806283, 0.28944284803049747, 0.2491205103841918]","[765.6838369524711, 613.7919021105714, 834.453834563093]","[18.31889477042563, 17.394309379327353, 20.908485578071968]",,
SVR,2.071,0.001,"{'C': 0.3613250064480507, 'gamma': 0.0004574088446299335, 'epsilon': 0.04926832210666938}",-0.002984508624254293,1018.8107203819296,22.408267359087358,-0.04449616207629322,1048.5780390595714,23.331593226990986,"[-0.02103470992220302, -0.07265413842056723, -0.03979963788610941]","[939.9275903454479, 1382.9041917025284, 822.9023351307384]","[21.91512567388883, 28.03996321629421, 20.03969079078992]","[-0.01267285882902014, 4.212378964929542e-05, 0.0036772091666079643]","[1085.4353159655673, 863.7813934718395, 1107.215451708382]","[23.524352501981085, 20.384872827651968, 23.315576747629024]",,
DecisionTree,2.643,0.001,"{'max_depth': 39, 'min_samples_split': 15, 'min_samples_leaf': 20}",0.009104869037170005,1005.5389448441888,22.42408934764032,-0.048323440586988266,1045.8537295162241,23.015765968460983,"[-3.234819982389503e-05, -0.04343326420131399, -0.10150470935982692]","[920.593576473595, 1345.2315924968618, 871.7360195782155]","[20.848092737716204, 27.24341472212638, 20.95579044554035]","[2.220446049250313e-16, 0.0, 0.027314607111509792]","[1071.8518882995286, 863.817780750331, 1080.9471654827066]","[23.2225222627538, 20.31057311119374, 23.739172668973413]",,
RandomForest,7.371,0.167,"{'n_estimators': 183, 'max_depth': 21, 'min_samples_split': 16, 'min_samples_leaf': 10}",0.17561419909157802,833.9099378725714,19.590893683929227,-0.057932681945211985,1066.313016316607,23.49797275973134,"[0.0027981706349190505, -0.12163056142519713, -0.054965655045357886]","[917.9879033050795, 1446.0463530402244, 834.9047926045171]","[21.903667808829745, 28.680331185712753, 19.90991928465153]","[0.22186735148990488, 0.12722723529499835, 0.1777480104898308]","[834.042948653059, 753.9166327068053, 913.7702322578498]","[19.284611864222235, 18.554120152716262, 20.93394903484919]",,
XGBoost,4.646,0.028,"{'n_estimators': 69, 'learning_rate': 0.010653502190023086, 'max_depth': 7, 'subsample': 0.99687831016383, 'colsample_bytree': 0.6799283685620796}",0.605780974482527,400.73927004034573,13.305276470771572,0.06813651299615091,937.9173404873565,20.357664901820655,"[0.021119021829902662, 0.046107951026773786, 0.13718256613177626]","[901.1223909484128, 1229.7918459524722, 682.8377845611844]","[20.096239385616613, 22.708959631227927, 18.26779568861743]","[0.6020404903567378, 0.6105941850195531, 0.60470824807129]","[426.5536518778851, 336.3756669076837, 439.28849133546845]","[13.674506623065666, 12.298583974839374, 13.942738814409672]",,
GPR,8.794,0.057,"{'kernel': 'RBF_default', 'alpha': 8.572082692705459e-09}",0.9999999999999999,1.8711810440778018e-13,2.717302210767941e-07,0.20970673542119653,822.6095586877955,18.213218251744106,"[-3.234819982389503e-05, 0.07129161542908224, 0.5578609390343312]","[920.593576473595, 1197.3241624588322, 349.9109371309593]","[20.848092737716193, 22.702773154142537, 11.08878886337358]","[0.9999999999999998, 0.9999999999999998, 0.9999999999999999]","[2.74635872315123e-13, 1.574432538109449e-13, 1.292751870972727e-13]","[3.014222158649674e-07, 2.613872707144599e-07, 2.5238117665095495e-07]",,
NNR,535.069,1.783,"{'hidden_layers': 2, 'units': 60, 'activation': 'relu', 'learning_rate': 0.00014003627914157388}",0.6182994709567752,386.6921219786696,12.483634708854646,-0.019072024413196553,1054.363905673266,19.513551974257798,"[-0.0478663577597056, -0.22180992156946333, 0.21246020608957927]","[964.6278339824376, 1575.2011776042489, 623.262705433111]","[19.790259612855774, 23.377637363235472, 15.372758946682147]","[0.6908556872312577, 0.5947963250609084, 0.5692464005781595]","[331.35691539823654, 350.02213923776463, 478.69731130000764]","[11.123198581291572, 12.387592596730695, 13.940112948541678]",100.0,8.0
