Model,Optimization Time (s),Retraining Time (s),Best Params,Train R2,Train MSE,Train MAPE (%),Test R2,Test MSE,Test MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.002,{},0.272355778148218,946.2997751857299,20.11440110775941,0.40962987994026023,559.4791876433901,15.100420643598605,,
BayesianRidge,7.868,0.002,"{'max_iter': 382, 'alpha_1': 6.229187055841213e-06, 'alpha_2': 6.852960210385228e-06, 'lambda_1': 4.3087415768618884e-07, 'lambda_2': 9.447777408226546e-06}",0.1738598793207392,1074.393483784086,22.681620309339234,0.15584502350908058,799.9848306084219,16.910988049500776,,
SVR,1.529,0.002,"{'C': 6.968901348091024, 'gamma': 0.03206298790378959, 'epsilon': 0.004262559225511253}",0.724690003373179,358.04006970787543,5.511099074012816,0.4544080385019721,517.0440322636795,14.17515925489344,,
DecisionTree,1.642,0.002,"{'max_depth': 27, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.9878682408597238,15.777327163863994,2.42080767764519,0.5033276804807296,470.6840952951364,13.948078843218331,,
RandomForest,17.863,0.425,"{'n_estimators': 452, 'max_depth': 27, 'min_samples_split': 7, 'min_samples_leaf': 2}",0.8501581013331925,194.86907304911716,8.14818699570279,0.6183915335877602,361.64092241754287,11.874454537178174,,
XGBoost,8.078,0.294,"{'n_estimators': 819, 'learning_rate': 0.058205584868300304, 'max_depth': 6, 'subsample': 0.708990561501652, 'colsample_bytree': 0.9322374565779575}",0.9999996239016109,0.0004891151614752524,0.013978738054731222,0.7705024167471641,217.48919378139453,9.363743424585019,,
GPR,7.101,0.054,"{'kernel': 'Matern_nu_0.5', 'alpha': 0.026826429443351146}",0.9991149936259676,1.1509489220618758,0.6887887670188395,0.4472112868197071,523.8642161585849,13.582878099863551,,
NNR,1163.46,1.058,"{'hidden_layers': 3, 'units': 89, 'activation': 'relu', 'learning_rate': 5.466819035718904e-05}",0.278433660656772,938.3955018077144,20.47124821451161,0.07129252084430615,880.113149940228,16.953488009028845,100.0,8.0
