Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.003,{},0.343376309687914,804.709917819219,18.28556773609492,-0.17769357892062188,1338.97666848778,22.565634381576363,"[0.4096298799402598, -0.5246406937928998, 0.07487961682426703, 0.4518320141218233, -1.3001687116965597]","[559.4791876433904, 1728.454328773753, 1145.2150578811536, 988.5531515414463, 2273.181616599157]","[15.10042064359861, 20.86389769580304, 20.661130123484224, 27.968883955652256, 28.233839489343676]","[0.2723557781482179, 0.4064266716903824, 0.31169303933508685, 0.22084956457474048, 0.5055564946911426]","[946.29977518573, 745.6165552957068, 847.9951614474325, 844.489483212142, 639.1486139550835]","[20.114401107759413, 18.592096783356407, 18.773979986458446, 17.933397009631403, 16.013963793268925]",,
BayesianRidge,7.329,0.001,"{'max_iter': 466, 'alpha_1': 2.6111596817511515e-07, 'alpha_2': 5.359357575769468e-06, 'lambda_1': 9.31009664296989e-06, 'lambda_2': 1.489121212113605e-07}",0.24217664897596353,926.8345200749023,20.40256030132891,-0.12870769974945245,1336.2348777623029,23.979982384827334,"[0.15574232395479726, -0.155443269098561, 0.14483292511569656, 0.0717579725118197, -0.8604284512310147]","[800.0821564405558, 1309.9026729750829, 1058.6192121286879, 1673.969668616494, 1838.600678650693]","[16.91149033319991, 20.70495480875617, 22.75190738942199, 33.982516561295554, 25.549042831463055]","[0.17378723060346724, 0.31700492818189685, 0.19094980824998964, 0.05971773327480234, 0.4694235445696615]","[1074.4879632876089, 857.9435908672156, 996.7509950929065, 1019.1337248844728, 685.8563262423081]","[22.68271893781056, 20.264187255750553, 21.25836562643803, 20.68517558140858, 17.12235410523683]",,
SVR,1.579,0.002,"{'C': 0.6698460110090506, 'gamma': 0.00024140494889982083, 'epsilon': 0.004240528176676139}",0.007684495793544443,1223.556715713775,24.19830192950349,-0.011643758540196014,1239.5188272000419,24.634592534130633,"[-0.006670691658608119, 0.011097364216931638, 0.006164061952816935, -0.03996242219460622, -0.028847105017514307]","[953.9969616629244, 1121.098924168686, 1230.2786772549953, 1875.4435801247735, 1016.7759927888311]","[18.867341082283033, 22.271992321059294, 25.165096852499573, 35.90712858265562, 20.96140383215564]","[0.00788850621651993, 0.0005380976072607568, 0.015137575434488793, 0.006726488223866456, 0.008131811485586282]","[1290.2389043057947, 1255.473090298039, 1213.3519177492653, 1076.5687812140095, 1282.1508850017665]","[25.35369687914763, 25.014499809908703, 23.53509486627326, 21.761337677485457, 25.3268804147024]",,
DecisionTree,1.568,0.002,"{'max_depth': 14, 'min_samples_split': 7, 'min_samples_leaf': 17}",0.3192669788640722,835.4661488852089,19.99839719369574,-0.15353278469622617,1334.3749424998546,25.31968842858766,"[0.2595860757224999, -0.4241736079291041, 0.1366466482837, 0.289280279757929, -1.0290033193161556]","[701.6719965988667, 1614.5568248126328, 1068.7530797490333, 1281.6950960432312, 2005.1977152955085]","[15.536469825587835, 23.493779198689086, 25.115697132924947, 32.150480008349625, 30.302015977386827]","[0.2440685517633776, 0.3835617582523767, 0.2923431038344091, 0.21961412488487453, 0.45674735558532276]","[983.0872534130426, 774.3382939279513, 871.8343097004788, 845.8285260693347, 702.242361315237]","[22.32444906627172, 19.769244830130305, 20.82678941921008, 18.6436075925822, 18.427895060284406]",,
RandomForest,9.787,0.158,"{'n_estimators': 164, 'max_depth': 20, 'min_samples_split': 13, 'min_samples_leaf': 7}",0.566850711986015,532.1906374795933,14.830684348367061,0.22901069190173703,891.2705761307454,19.52080574581015,"[0.5418542477537157, 0.09009743870696596, 0.49185126292818093, 0.5018263312893622, -0.48057582116953945]","[434.17341863962145, 1031.5381369736033, 629.0420100141657, 898.3945850648614, 1463.204729961475]","[12.006852580115513, 19.572774417371434, 17.413161420720606, 26.352634521824758, 22.25860578901844]","[0.5453107621593556, 0.7107300573787918, 0.4722420278838201, 0.5229377358144915, 0.5830329766936158]","[591.3223944154638, 363.3661552516853, 650.1985775903006, 517.0683947858493, 538.997665354668]","[15.926761929057031, 13.12230898588774, 17.207064246748605, 14.09425687747686, 13.803029702665071]",,
XGBoost,3.835,0.024,"{'n_estimators': 53, 'learning_rate': 0.019030877553636846, 'max_depth': 4, 'subsample': 0.8986162877839148, 'colsample_bytree': 0.8273549406784569}",0.71806714954578,346.89633732068245,12.586196853864893,0.4272054668426063,680.5770570197406,17.369750129618,"[0.5450854833261758, 0.2964438875302565, 0.5278684751266625, 0.5450780906009973, 0.22155139762893905]","[431.111256460781, 797.6073399354945, 584.4559707237888, 820.3953875948888, 769.3153303837498]","[12.88496207964798, 16.678168765869692, 16.178187310914396, 23.354626075518915, 17.752806416139002]","[0.7176151846317144, 0.7623709014057312, 0.7060118929653583, 0.6961695815440658, 0.7081681871820305]","[367.2408565532515, 298.497559579467, 362.1937689655771, 329.30943935870187, 377.2400621464149]","[13.109069414674032, 11.843261691547267, 12.982421163645922, 11.593033278023082, 13.403198721434158]",,
GPR,13.155,0.095,"{'kernel': 'Matern_nu_0.5', 'alpha': 0.009061334932792008}",0.9998404775674965,0.19653146240605163,0.27046606783660054,0.20901186492334684,955.1032024791978,19.474985689038537,"[0.4452063521537304, 0.17471911080124392, 0.49246148861157757, 0.21140784347690278, -0.2787354704267204]","[525.7642432434333, 935.6042582342393, 628.2866060104915, 1422.12840168492, 1263.7325032229041]","[13.624925274160796, 17.591314471076373, 14.759614070170738, 31.262408922340917, 20.13666570744387]","[0.9998968100054219, 0.9998170371646543, 0.9998952483022888, 0.9998268243977713, 0.9997664679673461]","[0.13419837021754444, 0.229828586513662, 0.12905424162311807, 0.18769799538300172, 0.30187811829293193]","[0.2354526824586747, 0.2983225957512778, 0.22945259802249215, 0.24883956249136782, 0.34026290045919044]",,
NNR,1521.923,3.696,"{'hidden_layers': 3, 'units': 54, 'activation': 'relu', 'learning_rate': 0.0003016361610084246}",0.895375421682399,129.85921422925247,5.233320014287086,0.05004728825936635,1110.8162976887393,19.138334080937177,"[0.33091303251220927, -0.00519986429766206, 0.12772613668523658, 0.35802419611829384, -0.5612270597212459]","[634.0772005787977, 1139.5747626319683, 1079.7958633611454, 1157.7239468370774, 1542.9097150347081]","[15.81798217330756, 16.054209098564247, 14.70540921342647, 26.27915928465453, 22.834910634733085]","[0.8158831602085742, 0.8913690445191308, 0.8839473987567262, 0.9168521437527976, 0.9688253611747657]","[239.44356166140645, 136.45666838634898, 142.97697096164356, 90.12058128937937, 40.29828884748404]","[7.832990553156464, 5.928720944644521, 5.35405540543232, 4.029908730528234, 3.0209244376738953]",100.0,8.0
