Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.003,{},0.7442085464237935,1693.9012024408312,10.897906826372026,0.6236959724224855,2568.1853685588744,12.633855556639944,"[0.3842358011247671, 0.6730435758759519, 0.8175246147160794, 0.5570210203418965, 0.6866548500537328]","[4234.711789366203, 1624.9732631371317, 1069.5216170955616, 4734.140938041496, 1177.5792351539776]","[15.296318092097183, 12.266619086844353, 9.011124790393746, 16.873817390269792, 9.721398423594646]","[0.7595892883435996, 0.732925571068726, 0.705421967789579, 0.7915369763545833, 0.7315689285624796]","[1546.6232907954304, 1848.8688372604138, 1983.8772316157647, 1163.523288831683, 1926.613363700863]","[10.714174699549485, 10.832889407593708, 11.888601144868511, 9.493679849584034, 11.560189030264398]",,
BayesianRidge,10.643,0.001,"{'max_iter': 104, 'alpha_1': 1.2342125169608256e-07, 'alpha_2': 1.0338050623640625e-07, 'lambda_1': 1.1612706072148592e-07, 'lambda_2': 9.992405449721188e-06}",0.7346113663062204,1757.455639361099,10.458352913633664,0.6606959231237458,2355.52115249297,11.852379263355143,"[0.5600406380907121, 0.7153030175655143, 0.7965182336907597, 0.5299882257492373, 0.7016295005225053]","[3025.6729769649987, 1414.9438592353204, 1192.6438594109757, 5023.041913996492, 1121.303152857063]","[12.08743940811196, 11.315704747968343, 9.644009371042845, 16.809341949408953, 9.405400840243615]","[0.7442218405851333, 0.7232958894434603, 0.6954340659791625, 0.7863173483066491, 0.7237876872166967]","[1645.4859931249969, 1915.5319706084379, 2051.1421625565254, 1192.6563153349375, 1982.461755180596]","[9.903734558998465, 10.301615402578458, 11.34753134848387, 9.470624445407456, 11.268258812700068]",,
SVR,1.95,0.001,"{'C': 12.138704751778926, 'gamma': 0.005084290600387968, 'epsilon': 0.4841482224364579}",0.7184869009395352,1867.196144896568,10.876545117909599,0.6330717662276092,2520.4154849890324,12.234064441909755,"[0.5081715036201667, 0.7612357946294543, 0.8526930978065663, 0.4841769184124082, 0.55908151666945]","[3382.3855556564167, 1186.6579803739144, 863.3927036138266, 5512.62989773304, 1657.0112875679642]","[11.44273352860736, 9.637194069744256, 9.234252759575453, 18.6001941302405, 12.255947721381212]","[0.7182150577635305, 0.6993158751433519, 0.6801376134451891, 0.7877454319177863, 0.7070205264278178]","[1812.7942455461146, 2081.5377590844982, 2154.158275736901, 1184.685556248265, 2102.8048878670606]","[10.583575678836304, 11.110535504759982, 11.138469619833803, 9.93883520500664, 11.611309581111263]",,
DecisionTree,2.718,0.001,"{'max_depth': 40, 'min_samples_split': 4, 'min_samples_leaf': 14}",0.585136527654134,2717.7702626809596,13.879478580114792,0.29900506162122253,4615.213642518723,16.221113167588378,"[0.2830546404682017, 0.4591499663380415, 0.7133150054638098, 0.0749751286176028, -0.03546943278154324]","[4930.551292014734, 2688.024394755602, 1680.3132021138242, 9885.792133292407, 3891.387190417047]","[16.225407476486957, 14.989021644780529, 11.210442794997332, 20.52990079464353, 18.150793127033552]","[0.5581642483295087, 0.5151108383323177, 0.5925248752873462, 0.582316361245617, 0.6775663150758807]","[2842.4418343569887, 3356.7289242932325, 2744.1985958742193, 2331.2750268906943, 2314.206931989661]","[13.460062974904705, 15.096238717325885, 14.461438509674165, 13.393056865526404, 12.986595833142806]",,
RandomForest,9.499,0.151,"{'n_estimators': 163, 'max_depth': 19, 'min_samples_split': 3, 'min_samples_leaf': 2}",0.8864820544705003,755.4111828904064,5.8965912164169,0.5573447896673216,3043.919936263536,12.345464761685042,"[0.4845963448443834, 0.6107902563410819, 0.8472120425573612, 0.350362992915601, 0.49376231167818097]","[3544.5158045184785, 1934.3722298548366, 895.5181711907215, 6942.706745314855, 1902.4867304387876]","[13.607079675073278, 11.298183623097522, 8.57100974638471, 16.486322548231048, 11.764728215638657]","[0.8868811910622342, 0.8730503595343422, 0.8756674271120695, 0.9215597361088956, 0.8752515585349598]","[727.7220857789066, 878.8308004536323, 837.3352169192982, 437.8094120645723, 895.3583992356223]","[5.766429785030567, 6.017188810338113, 6.279836722349788, 5.426895674287952, 5.992605090078084]",,
XGBoost,6.265,0.048,"{'n_estimators': 53, 'learning_rate': 0.06479221374484859, 'max_depth': 5, 'subsample': 0.6644340079065896, 'colsample_bytree': 0.8157303601246522}",0.9587645518270536,273.4467149431358,3.6848562371592712,0.5705347288164673,2883.7715076341296,12.572539676056412,"[0.5490582440605608, 0.6356822782353868, 0.7702050706203032, 0.4201600953832154, 0.4775679557828708]","[3101.2007091064543, 1810.6588935836917, 1346.8701221708861, 6196.781237960894, 1963.3465753487242]","[13.033201210592459, 10.595619505870852, 9.846542744499521, 16.42036604471272, 12.966968874606511]","[0.9556735059511176, 0.9551089916118953, 0.9527477834374165, 0.9704017449425596, 0.9598907331922792]","[285.1636169743081, 310.76575475265855, 318.22670508887467, 165.200803796694, 287.8766941031438]","[3.546836587294534, 3.6919050614491273, 3.7854116539403995, 3.4280667260367332, 3.9720611570755624]",,
GPR,12.214,0.088,"{'kernel': 'Matern_nu_0.5', 'alpha': 0.09864775063547042}",0.9743608928428105,166.59283316418143,3.132708061821739,0.6055276317201498,2748.751196515266,12.30145612538885,"[0.5159513560430449, 0.7576820974604837, 0.7833606989964937, 0.41226739916419564, 0.5583766069365312]","[3328.8822294889155, 1204.319853512925, 1269.7625774304315, 6281.130920446563, 1659.6604016974961]","[12.302740345027967, 9.19879158167584, 10.141011041524564, 18.218331921325735, 11.64640573739014]","[0.9717109156873567, 0.9775060708073928, 0.974292334920923, 0.9693092527945825, 0.9789858900037969]","[181.99087874146707, 155.71810778805636, 173.13188986188175, 171.29848018461425, 150.82480924488775]","[3.1019677436442357, 3.077633628612525, 3.156156852678677, 3.251861884960152, 3.0759201992131047]",,
NNR,1438.198,2.531,"{'hidden_layers': 1, 'units': 119, 'activation': 'selu', 'learning_rate': 0.00029312058197150426}",0.7870924567436537,1411.4782773898946,9.741853945112094,0.6638419582651836,2301.2014137129236,12.13503612517618,"[0.5932117410733455, 0.6944821117312621, 0.8251927147144795, 0.5406605376780215, 0.6656626861288084]","[2797.5498396935823, 1518.4237507395146, 1024.5774801229013, 4908.986324170084, 1256.4696738385353]","[12.569094254145243, 11.999645847052394, 9.122397669760502, 17.03344229767198, 9.95060055725078]","[0.7925883718895065, 0.7988816648971246, 0.7429853631489851, 0.8346887987769853, 0.7663180850056664]","[1334.331788327158, 1392.2763922452832, 1730.901257010586, 922.6740990521321, 1677.207850314315]","[9.526697185236287, 9.86372868580479, 10.48417311009086, 8.433262187933813, 10.401408556494726]",100.0,8.0
