Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.001,{},0.4577311618818377,574.9831098243858,15.112984128654613,-1.8151285971466518,2391.722014035954,22.555051554012216,"[-7.8859755150000925, 0.13631893567436992, -1.0771801248125543, 0.3921404364930766, -0.6409467180880577]","[7671.871715907559, 828.2422330957181, 1074.6777142656977, 970.0227287724928, 1413.7956781383052]","[26.68375894157852, 25.44369937496831, 16.266858454323753, 22.539122297017894, 21.841818702172592]","[0.5471475367154637, 0.37100439001629704, 0.46997434167627283, 0.35836061985051937, 0.5421689211506354]","[503.42364034980886, 631.3467752837136, 612.9744235191529, 609.895165484796, 517.275544484458]","[14.803294013436227, 14.773768606607288, 15.820718233764147, 15.5133146997318, 14.653825089733605]",,
BayesianRidge,8.753,0.003,"{'max_iter': 368, 'alpha_1': 5.626233214148644e-07, 'alpha_2': 9.865616046959415e-06, 'lambda_1': 8.101949818298544e-06, 'lambda_2': 1.4577365291224408e-07}",0.29818861725259704,739.8978934471808,16.883992087444074,-0.2679279310612634,1155.4835369748512,21.93714905946343,"[0.14791547463193233, -0.3883407087043462, -0.5364307950577916, 0.0364747205512036, -0.5992583467273151]","[735.6629734910684, 1331.3738790520065, 794.9084026158484, 1537.5943341583288, 1377.8780955570044]","[14.501005745189003, 32.70149583958856, 13.890370397096213, 26.671478660570646, 21.92139465487272]","[0.32377370393397886, 0.07406387162685157, 0.421610260467838, 0.15480535480451674, 0.5166898954298]","[751.7421925823245, 929.3972477522068, 668.9074605942501, 803.3798173021628, 546.0627490049598]","[17.877467244105077, 17.40166487130414, 16.61603680585166, 17.524572119215502, 15.000219396743983]",,
SVR,2.134,0.001,"{'C': 1.3327574313293986, 'gamma': 0.00024778932519796203, 'epsilon': 0.10234065340278442}",0.024324909280924456,1044.4983127785997,19.9667280514184,-0.22555188798283315,1121.3154721167452,21.09560681748195,"[-0.11560621879977262, -0.39386638105039196, -0.6102074271432405, -0.012682520389343477, 0.004603107468582834]","[963.1793134757997, 1336.6728202842282, 833.0784685570321, 1616.0394946177205, 857.6072636489455]","[15.817384602793162, 32.219131507982944, 11.314590698890195, 27.576981429370623, 18.549945848372822]","[0.02815245790279053, 0.016450907261774894, 0.014850717553472004, 0.030349462634098323, 0.03182100105248653]","[1080.3762089733516, 987.225567519604, 1139.3246798613234, 921.6784275482358, 1093.8866799904833]","[20.93594093423603, 17.699665051849315, 22.003309507067275, 18.58581101267546, 20.60891375126391]",,
DecisionTree,2.23,0.001,"{'max_depth': 20, 'min_samples_split': 20, 'min_samples_leaf': 19}",0.2420048147799842,812.4280123941363,18.48133254414907,-0.1399870176459545,1078.9812432991457,21.204671842584506,"[-0.213794824273567, -0.30477532987978573, 0.037899072269712675, 0.06583072206206342, -0.28509472840819594]","[1047.9522665283046, 1251.2373809557037, 497.76541454217715, 1490.7480058269505, 1107.2031486425926]","[19.50360479119731, 32.74352276358034, 10.014520989052246, 23.72803166653053, 20.033679002562106]","[0.27562355969375674, 0.2045366495987565, 0.2027079583048017, 0.28777521245646975, 0.23938069384613647]","[805.2693849066611, 798.4367667450271, 922.0678696577821, 676.9884581585975, 859.3775825026137]","[19.16227400095734, 17.002947497162445, 19.731911131720576, 17.616227904500224, 18.89330218640476]",,
RandomForest,12.89,0.155,"{'n_estimators': 185, 'max_depth': 29, 'min_samples_split': 15, 'min_samples_leaf': 10}",0.36786214797847683,677.4752726711347,16.24995686351159,0.008458986638202637,940.2697975528939,19.523549973298447,"[-0.07828740623248343, -0.1389490699608915, 0.05441542144715228, 0.12488982806746673, 0.08022615986976911]","[930.959424717054, 1092.2153559349565, 489.22029504579905, 1396.501441973106, 792.4524700935544]","[17.965566687748517, 30.652017892639265, 9.44940652983712, 22.846398921192726, 16.704359835074595]","[0.39488003685238937, 0.35773607349130243, 0.33693781458104244, 0.3899571959278826, 0.3597996190397673]","[672.695236074505, 644.66468834787, 766.8311042713543, 579.8617860014998, 723.3235486604439]","[16.80202572957946, 14.198338012277956, 18.167182362986107, 15.55829773842736, 16.52394047428706]",,
XGBoost,118.651,0.083,"{'n_estimators': 120, 'learning_rate': 0.010543779405495213, 'max_depth': 10, 'subsample': 0.6454076498250095, 'colsample_bytree': 0.8067923587605393}",0.707546729139626,313.1484660775564,10.41967706256793,0.15481204686171918,818.3329544024195,17.651803386573544,"[0.1895068667653268, -0.02325541585303137, 0.303053837028045, 0.19713914186707804, 0.10761580450117736]","[699.7542739459509, 981.2688799830763, 360.5813961158224, 1281.2059350314917, 768.8542869357567]","[14.827716668054428, 27.948668641688553, 7.673478153052576, 21.870400854028503, 15.938752616043677]","[0.7160396277027512, 0.7002106668058138, 0.6900668673157708, 0.7117660259746542, 0.7196504578991401]","[315.67094346828827, 300.90993605107707, 358.43752156723815, 273.97399960952345, 316.74992969165504]","[10.550162740628782, 9.540157812341722, 11.457774013769491, 9.918493985852878, 10.631796760246774]",,
GPR,17.084,0.092,"{'kernel': 'Matern_nu_0.5', 'alpha': 0.09864775063547042}",0.9881577411367889,12.767966852912608,2.128690310882191,0.021263866395860642,924.0704545382562,18.55108572082449,"[0.17251453190451305, -0.18926778440143432, 0.10565058917585035, 0.19015655752287464, -0.1727345622225005]","[714.4249213032214, 1140.4693771659095, 462.71258284165606, 1292.348748151633, 1010.3966432288604]","[12.842969724128633, 29.958294001651947, 8.999260413775794, 22.302302842946897, 18.65260162161917]","[0.9881651903325932, 0.991111075171547, 0.9882332684166346, 0.9886387924838068, 0.984640379279363]","[13.156432720714974, 8.9221513427233, 13.608219518709838, 10.799127598093316, 17.353903084321608]","[2.1922585226565, 1.635563125256212, 2.245273350962693, 1.965926029486786, 2.6044305260487635]",,
NNR,1467.166,2.937,"{'hidden_layers': 3, 'units': 98, 'activation': 'tanh', 'learning_rate': 0.0003076018080514121}",0.8874915987578497,118.71525127380883,5.70205874155287,0.12597615462552633,765.559522740914,16.77888075600125,"[0.4143738356378559, 0.4332571817392572, -0.17588576216511198, 0.44007727162125476, -0.4819417537056241]","[505.6112071073288, 543.4880499015576, 608.3719981844218, 893.5250927865077, 1276.8012657247534]","[10.776030214141171, 19.29975952788242, 12.325741135548549, 18.7017863124392, 22.791086589994908]","[0.8919147131027455, 0.8463820799008561, 0.8915515271758543, 0.8685979406681723, 0.9390117329416204]","[120.15544357077016, 154.19213892907544, 125.42060760068182, 124.90112546171605, 68.90694080680065]","[5.897044334336527, 6.346799919591431, 5.878793256294877, 5.726543126037522, 4.661113071503991]",100.0,8.0
