Model,Total Optimization Time (s),Avg Optimization Time per Fold (s),Avg Retraining Time (s),Best Params Per Fold,Avg Train R2,Std Train R2,Avg Train MSE (original units),Std Train MSE (original units),Avg Train MAPE (%),Std Train MAPE (%),Avg Test R2,Std Test R2,Avg Test MSE (original units),Std Test MSE (original units),Avg Test MAPE (%),Std Test MAPE (%),All Fold Test R2,All Fold Test MSE (original units),All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE (original units),All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.0,0.002,"[{}, {}, {}, {}, {}]",0.4830416612363959,0.0380529401138745,3395.444719680095,386.1000537932081,16.597400211418588,0.7723801462466361,0.4120095177618917,0.1973688216757313,3631.276180803277,1624.8636712158088,17.127268236535194,2.652116659027867,"[0.5972379917467732, 0.20337910567807693, 0.621958533402113, 0.40957395403401475, 0.2278980039484807]","[2769.8606508371154, 3959.2054433479598, 2215.7701985714234, 6309.91591802139, 2901.6286932384955]","[15.647337499620612, 20.576271875487272, 13.844835410488457, 18.882184876650996, 16.685711520428626]","[0.4381241934385003, 0.5230764630639448, 0.4467139936812805, 0.5048500548812017, 0.5024436011170521]","[3614.6900567579096, 3301.585512044634, 3726.1825067907866, 2763.648356119957, 3571.1171666871896]","[16.57172646451387, 15.749726341362827, 17.57846403384786, 15.952447101147918, 17.134637116220475]",,
BayesianRidge,11.409,2.282,0.001,"[{""max_iter"": 109, ""alpha_1"": 7.76297368409244e-07, ""alpha_2"": 1.305752436006017e-06, ""lambda_1"": 9.909974874498596e-06, ""lambda_2"": 1.7313211240919247e-06}, {""max_iter"": 175, ""alpha_1"": 2.5248802388835746e-06, ""alpha_2"": 2.404688510242215e-07, ""lambda_1"": 9.975617062307623e-06, ""lambda_2"": 3.4476896967800186e-06}, {""max_iter"": 330, ""alpha_1"": 1.8175395656541884e-07, ""alpha_2"": 1.6922640577862416e-06, ""lambda_1"": 1.0057015556349959e-07, ""lambda_2"": 1.658617844940517e-06}, {""max_iter"": 457, ""alpha_1"": 9.987718578771963e-06, ""alpha_2"": 1.7548335702915247e-07, ""lambda_1"": 1.0425141762162061e-07, ""lambda_2"": 2.9884417081694817e-07}, {""max_iter"": 279, ""alpha_1"": 9.721780491311182e-06, ""alpha_2"": 3.4505464132053514e-07, ""lambda_1"": 1.0261118823869882e-07, ""lambda_2"": 2.1380431604690983e-07}]",0.4822315919314632,0.0384063711088333,3400.7311116152296,387.4878112422788,16.5786886091741,0.7867637100237662,0.4090848059827284,0.1838212806650175,3671.588016785032,1641.7753040968244,17.236054553066886,2.5661442309601648,"[0.5627761124993464, 0.21816269411797906, 0.6242383405264849, 0.4006513564043258, 0.2395955263655063]","[3006.8606690248607, 3885.7310162513695, 2202.407831923833, 6405.272214035672, 2857.668352689425]","[16.240545586710002, 20.408541385775194, 13.788346565974093, 19.00953344043662, 16.7333057864385]","[0.4365700938804661, 0.5225626405342197, 0.4459171009690691, 0.5042242536976241, 0.501883870575937]","[3624.6879747213397, 3305.1425372038466, 3731.549292955844, 2767.1412261673063, 3575.134527027812]","[16.375946905039225, 15.770434544961095, 17.621934490098567, 15.97403670227378, 17.151090403497832]",,
SVR,5.182,1.036,0.013,"[{""C"": 1794.045599235108, ""gamma"": 0.0073527185393554495, ""epsilon"": 0.018384978346777797}, {""C"": 1566.2454916652393, ""gamma"": 0.32974224289863874, ""epsilon"": 0.42652059974572254}, {""C"": 9198.303493082798, ""gamma"": 0.10706781224574964, ""epsilon"": 0.2412315851326471}, {""C"": 3830.500919552846, ""gamma"": 0.8597773437802534, ""epsilon"": 0.16024341871335984}, {""C"": 1779.1856216042447, ""gamma"": 0.27299110063937726, ""epsilon"": 0.04954833961984227}]",0.6180131631462551,0.1116267318924672,2506.5519053022645,732.1281786412218,12.026827079661686,1.4151332323540158,0.1842235862680226,0.4349964623535878,4994.943709278984,3101.9410658934885,16.747325838934856,2.866705946341481,"[-0.5198976640492241, 0.3183541131671286, 0.47039766135818817, 0.5720367796987819, 0.0802270411652386]","[10452.586506874106, 3387.779714065405, 3104.0961977445054, 4573.666684518053, 3456.5894431928555]","[19.31984383238203, 19.895773622856833, 13.221122418421272, 16.51563461426908, 14.784254706745061]","[0.42276889945966234, 0.6787656143929532, 0.6271089094565128, 0.6872727111136738, 0.6741496813084736]","[3713.474570730082, 2223.8004865609837, 2511.287548669512, 1745.467744396473, 2338.7291761542688]","[13.813225547987573, 12.794687718239373, 12.305729974536423, 10.873294101391158, 10.347198056153903]",,
DecisionTree,5.727,1.145,0.001,"[{""max_depth"": 21, ""min_samples_split"": 5, ""min_samples_leaf"": 13}, {""max_depth"": 7, ""min_samples_split"": 8, ""min_samples_leaf"": 12}, {""max_depth"": 34, ""min_samples_split"": 10, ""min_samples_leaf"": 15}, {""max_depth"": 18, ""min_samples_split"": 2, ""min_samples_leaf"": 11}, {""max_depth"": 25, ""min_samples_split"": 16, ""min_samples_leaf"": 13}]",0.4852417576095245,0.0167074100254464,3384.775933558968,365.3624147970857,15.068450631450606,0.6173670433946786,0.3312914975388161,0.1282302996016758,4187.841356884415,1548.969463176325,16.989169489802,1.834648447517498,"[0.353165768496301, 0.16444736947443128, 0.5029969225411866, 0.37963450630055995, 0.25621292088160186]","[4448.385519843051, 4152.696152661657, 2913.0259639027618, 6629.8804573923035, 2795.218690622304]","[17.034514581818684, 18.806749855447737, 14.257593624604347, 18.50036554663805, 16.346623840501167]","[0.48059494561806004, 0.5037841407417297, 0.4627324488913591, 0.49973121321672276, 0.479366039579751]","[3341.46489950124, 3435.1399436038814, 3618.303964937292, 2792.2188497466536, 3736.752010005773]","[14.733309889562147, 14.500595097250885, 15.795172959400148, 14.634032610257153, 15.679142600782702]",,
RandomForest,28.01,5.602,0.108,"[{""n_estimators"": 176, ""max_depth"": 14, ""min_samples_split"": 6, ""min_samples_leaf"": 10}, {""n_estimators"": 50, ""max_depth"": 26, ""min_samples_split"": 4, ""min_samples_leaf"": 7}, {""n_estimators"": 58, ""max_depth"": 25, ""min_samples_split"": 2, ""min_samples_leaf"": 10}, {""n_estimators"": 52, ""max_depth"": 34, ""min_samples_split"": 13, ""min_samples_leaf"": 1}, {""n_estimators"": 98, ""max_depth"": 6, ""min_samples_split"": 12, ""min_samples_leaf"": 10}]",0.5194047888870275,0.1134991221884496,3202.408318589799,924.5725978000852,14.30748997158284,1.966602505850231,0.3275343029943821,0.108564255407797,4246.9599638272575,1654.4985266517024,17.233191101988325,2.141922607175544,"[0.3630547784871956, 0.17801338061493854, 0.47023103042170133, 0.3502839087718824, 0.27608841667619266]","[4380.377169779674, 4085.2730841294992, 3105.0728521484534, 6943.551921947427, 2720.524791131235]","[15.761065610978859, 19.338005064750735, 14.6898540208142, 19.50382563219372, 16.87320518120411]","[0.455068194625474, 0.5330514295015008, 0.4353956083766446, 0.7114004630199846, 0.46210824891153357]","[3505.684985001818, 3232.5320849796954, 3802.407766142381, 1610.800210753209, 3860.6165460718926]","[14.745222288349874, 13.909887996300865, 15.745249029149347, 11.12302128866963, 16.01406925544449]",,
XGBoost,15.32,3.064,0.084,"[{""n_estimators"": 50, ""learning_rate"": 0.023785457268843947, ""max_depth"": 4, ""subsample"": 0.6280143241210363, ""colsample_bytree"": 0.8670751269638819}, {""n_estimators"": 124, ""learning_rate"": 0.010308212505128778, ""max_depth"": 3, ""subsample"": 0.9836621841499954, ""colsample_bytree"": 0.7455155964057681}, {""n_estimators"": 104, ""learning_rate"": 0.010037911529518929, ""max_depth"": 4, ""subsample"": 0.6086147288210599, ""colsample_bytree"": 0.8845593211711007}, {""n_estimators"": 77, ""learning_rate"": 0.01631408212723578, ""max_depth"": 3, ""subsample"": 0.6745017929370508, ""colsample_bytree"": 0.9305950610142473}, {""n_estimators"": 113, ""learning_rate"": 0.011314981951439101, ""max_depth"": 6, ""subsample"": 0.6166272668880188, ""colsample_bytree"": 0.6682060912226412}]",0.5467618015591451,0.0524167869322451,2967.235997174398,360.5472454145914,15.27408127981731,0.8844265603222208,0.21882676092673,0.068582555330473,5096.197486744361,2476.528004035217,19.41024336624486,2.012579892486516,"[0.2940071929527468, 0.17114637966454693, 0.26467588748038773, 0.12694094988795457, 0.23736339464801404]","[4855.2287850962175, 4119.402075392537, 4309.869151325115, 9330.430517613044, 2866.0569042948932]","[17.031623008433936, 21.61837330206648, 18.636506319945887, 21.402848287760612, 18.361865913017386]","[0.5442274673025734, 0.5516603136324032, 0.4792606016133044, 0.5330602784844962, 0.6256003467629485]","[2932.100693508742, 3103.708872276435, 3506.9927934297266, 2606.1947628083067, 2687.1828638487787]","[14.751597631870892, 15.625121041299803, 16.67575907327011, 14.733747065939811, 14.584181586705935]",,
GPR,37.259,7.452,0.215,"[{""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}]",0.982999341461308,0.0010186295055457,111.56093018085926,11.146796595675932,2.8727073373851826,0.0687434810831752,0.3233297749469125,0.0823776682209247,4456.352244464079,2237.098932241616,17.673528163983537,2.062040680288323,"[0.2619281860801741, 0.28843847282102364, 0.4364865353670836, 0.2470372650372128, 0.3827584154290683]","[5075.84139759071, 3536.460431510502, 3302.855511232764, 8046.9545330531155, 2319.6493489333034]","[18.131003088635364, 19.879697630828975, 14.721593105719212, 19.077852790770777, 16.557494203963362]","[0.9828003401608275, 0.9818432555414246, 0.9845206428632453, 0.9824439439016817, 0.9833885248393612]","[110.64978892888158, 125.69319777221814, 104.24790997897863, 97.98802575738227, 119.22572846683566]","[2.827300400666422, 2.916911497328648, 2.847045046646656, 2.8028708852739066, 2.969408857010281]",,
NNR,4244.095,848.819,4.05,"[{""hidden_layers"": 4, ""units"": 77, ""activation"": ""relu"", ""learning_rate"": 0.0018499510050901614}, {""hidden_layers"": 1, ""units"": 95, ""activation"": ""relu"", ""learning_rate"": 0.000292287446424388}, {""hidden_layers"": 3, ""units"": 56, ""activation"": ""selu"", ""learning_rate"": 0.005507423787135926}, {""hidden_layers"": 4, ""units"": 102, ""activation"": ""selu"", ""learning_rate"": 0.003279149371929606}, {""hidden_layers"": 1, ""units"": 110, ""activation"": ""selu"", ""learning_rate"": 0.0008550806279322856}]",0.6212148899926075,0.0767692860151504,2506.3554683846864,661.4881485644274,13.60332154303298,2.0227294932918496,-0.8666026017861764,2.7715735818238687,12462.066362166366,19312.64546102356,18.762631921418453,4.877336497873464,"[-5.82032612804867, 0.2937429308839268, 0.5447346512098188, 0.4011317222531293, 0.24770381477091352]","[46904.50583929157, 3510.0972776108883, 2668.3935002413473, 6400.138517552347, 2827.19667613568]","[26.422340054108425, 19.288112577173724, 13.379510964103257, 18.646627840170797, 16.076568171536056]","[0.7299859302280942, 0.5529068029683946, 0.651366015475511, 0.628772140745129, 0.543043560545909]","[1737.0692273834625, 3095.079834676265, 2347.924653022205, 2071.985007954523, 3279.7186188869778]","[10.821271062069474, 14.150429239981213, 14.29896646742388, 12.548420406350882, 16.197520539339457]",100.0,8.0
Ridge,8.793,1.759,0.002,"[{""alpha"": 8.576318734930279}, {""alpha"": 2.7272348156591493}, {""alpha"": 2.224805159734561}, {""alpha"": 0.0010014673605629077}, {""alpha"": 0.1366761800431049}]",0.4786751014597109,0.04287161644469536,3423.9731829859943,404.7351019007074,16.587581426498758,0.7709312037040523,0.38434108833556657,0.16186136268804116,3836.637171277181,1558.178667494624,17.402771838203975,2.4158445694657065,"[0.41897615813408473, 0.23901972887090372, 0.6247966874508946, 0.40956632586743635, 0.2293465413545135]","[3995.796633754897, 3782.0715640395792, 2199.135258450069, 6309.997440660927, 2896.1849594804316]","[17.50397731089942, 20.151071262530106, 13.785227146687367, 18.88229515939159, 16.6912883115114]","[0.42145494057084587, 0.5197443762034419, 0.4448906791517395, 0.5048500543990695, 0.5024354569734577]","[3721.927602654449, 3324.652458528731, 3738.4618751947637, 2763.648358810948, 3571.1756197410805]","[16.30486377186938, 15.89903601025013, 17.64544426957792, 15.952465662839115, 17.136097417957245]",,
Lasso,3.491,0.698,0.001,"[{""alpha"": 4.574288160615695}, {""alpha"": 2.00049436678356}, {""alpha"": 9.955236125880369}, {""alpha"": 4.747866714138897}, {""alpha"": 0.10117094039802262}]",0.08761392063511195,0.19591068231538192,5941.030912217548,1183.7483507499137,23.025601816882585,3.0519026395468307,0.030111840671359212,0.15198378374725205,6383.157693820178,2961.716322104013,23.574514874404887,4.959690871165119,"[-0.049439945235507654, -0.06866729132662397, -0.024166096259173653, -0.005752954189848225, 0.29858549036794957]","[7217.171307520419, 5311.275899372114, 6002.824861781955, 10748.537634136097, 2635.978766290306]","[24.08709424964265, 25.842933445934506, 21.230302539473904, 29.966528690317855, 16.745715446655524]","[0.0, -4.440892098500626e-16, 0.0, 3.3306690738754696e-16, 0.4380696031755599]","[6433.254492444971, 6922.672622230645, 6734.640790181715, 5581.4372663555305, 4033.1493898748777]","[24.09819539160105, 25.12476202881449, 25.05947001033672, 23.069830530441553, 17.775751123219113]",,
