Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.001,{},0.7232069391456143,1834.508090428641,10.765283237206315,0.6365522491358575,2512.8919012413944,12.223403489158965,"[0.49417561030787593, 0.719769693783229, 0.7942115089477801, 0.5114707051685041, 0.6631337274718979]","[3478.6376185735694, 1392.7444806841188, 1206.1639951458158, 5220.939684044036, 1265.9737277594313]","[12.567331065019612, 11.277549328456733, 9.513786286714044, 17.45583635621139, 10.302514409393051]","[0.7466268378042593, 0.7008478747373003, 0.6819431487275618, 0.7774791476450256, 0.7091376868139246]","[1630.0140339607372, 2070.9322274382034, 2141.998644176121, 1241.986177875251, 2087.6093686928916]","[10.364525809442164, 10.64600050377251, 11.79808858889321, 9.615834470799719, 11.401966813123977]",,
BayesianRidge,10.007,0.002,"{'max_iter': 109, 'alpha_1': 8.33112996700895e-07, 'alpha_2': 1.0614734578245482e-07, 'lambda_1': 9.631333079178537e-06, 'lambda_2': 1.15613707838541e-07}",0.7191254459095188,1861.8216172928883,10.66004707041447,0.651203490761832,2441.058129956126,11.913924821160236,"[0.5316969009814247, 0.7355958248682284, 0.789612338262154, 0.505311975537113, 0.6938004141602401]","[3220.597524235918, 1314.0886171667523, 1233.1205759544312, 5286.758369383916, 1150.7255630396098]","[12.346585493594745, 10.846348034325644, 9.678575984355774, 17.146549376068666, 9.55156521745636]","[0.7424226153570962, 0.6961867208235877, 0.6766190848822512, 0.7754544221368863, 0.7049443863477729]","[1657.0608669061874, 2103.199870024664, 2177.854301718282, 1253.2870562805203, 2117.7059915347872]","[9.940717009853735, 10.648979666821969, 11.575782629645538, 9.665020943315218, 11.46973510243588]",,
SVR,2.711,0.001,"{'C': 6.037798602228339, 'gamma': 0.003036561363992066, 'epsilon': 0.002097336941885754}",0.690251088262009,2056.9695448697557,8.938516022399687,0.6392012902195198,2484.3618260643298,11.384190037101266,"[0.5311508795583574, 0.71683049084908, 0.7661502323023966, 0.5172612662030455, 0.6646135821847196]","[3224.3526034719857, 1407.352317785721, 1370.6362713864678, 5159.055636929638, 1260.4123007478363]","[12.181268403495228, 10.022511894425042, 9.007595049460791, 15.354438714360793, 10.355136123764488]","[0.7114438267727844, 0.6590235101036197, 0.6429947869151867, 0.7672683280970287, 0.6705249894214254]","[1856.3552977367142, 2360.4686114299748, 2404.301870348498, 1298.9772266204727, 2364.7447182131195]","[8.621317955929667, 8.907076613974839, 9.548630203617003, 8.486078926757184, 9.129476411719747]",,
DecisionTree,2.553,0.0,"{'max_depth': 28, 'min_samples_split': 12, 'min_samples_leaf': 14}",0.5852740437723813,2716.8855864954617,13.959459969392682,0.3278469171353286,4416.863452956096,16.484150711320808,"[0.42726391803873187, 0.4591499663380415, 0.7133150054638098, 0.07497512861760314, -0.03546943278154324]","[3938.8003442015997, 2688.024394755602, 1680.3132021138242, 9885.792133292403, 3891.387190417047]","[17.540595195149095, 14.989021644780532, 11.210442794997332, 20.52990079464353, 18.15079312703355]","[0.5588518289207449, 0.5151108383323177, 0.5925248752873462, 0.582316361245617, 0.6775663150758807]","[2838.0184534295, 3356.7289242932325, 2744.1985958742193, 2331.275026890695, 2314.206931989661]","[13.859969921294157, 15.096238717325882, 14.461438509674165, 13.393056865526406, 12.986595833142806]",,
RandomForest,12.276,0.162,"{'n_estimators': 176, 'max_depth': 22, 'min_samples_split': 9, 'min_samples_leaf': 2}",0.8206806086936307,1187.6927042791117,8.039264513988373,0.5373026661887508,3054.698115281736,13.19646917573563,"[0.5311152227692217, 0.6103761558413312, 0.7898784882259301, 0.393470928792237, 0.3616725353150336]","[3224.5978210822323, 1936.4303091299244, 1231.560622324495, 6482.009842392822, 2398.891981479208]","[14.413495483833119, 11.728451350527424, 9.81600481095306, 15.738638978411162, 14.285755254953392]","[0.8229566842895276, 0.8139704755764112, 0.7949398426485249, 0.8578727006975456, 0.8136633402561438]","[1138.9647061517496, 1287.8214956537652, 1381.0065001403252, 793.2746048931855, 1337.396214556532]","[7.509032339443655, 8.263130033946378, 8.679307176578208, 7.791254919167456, 7.9535981008061665]",,
XGBoost,5.92,0.057,"{'n_estimators': 73, 'learning_rate': 0.04393985590110577, 'max_depth': 6, 'subsample': 0.6180382539710657, 'colsample_bytree': 0.6172036068727815}",0.9414229485998042,387.74982129848854,4.560079097896894,0.542660344039771,3066.3559269870507,13.663236599769942,"[0.5160945580205265, 0.5723909454832403, 0.7187560129760228, 0.40552181424408795, 0.5005383894749776]","[3327.8974059096795, 2125.2167854681866, 1648.42246165019, 6353.221360823587, 1877.0216210836115]","[14.07268413405458, 12.23677954289008, 10.973050703334646, 17.355789119896205, 13.677879498674194]","[0.9421462033468269, 0.94335291073927, 0.9273560772061615, 0.9537863368598613, 0.9404732148469018]","[372.18819722402395, 392.14925395431135, 489.2307256061959, 257.93866166517165, 427.2422680427399]","[4.103867619597777, 4.544116663911361, 4.956470123836752, 4.441600809818338, 4.7543402723202375]",,
GPR,12.276,0.097,"{'kernel': 'Matern_nu_0.5', 'alpha': 0.09962515213396403}",0.9737410396689947,170.62623678430654,3.1663580014009147,0.6120971259939648,2716.1022532192446,12.27013764368013,"[0.5473639714283169, 0.7607275427492255, 0.7740544003733296, 0.40616315152563176, 0.5721765638933203]","[3112.852500982743, 1189.183991962534, 1324.3084962519424, 6346.367353705706, 1607.798923193297]","[12.295093999196915, 8.6991504811187, 10.318841296887602, 18.548208035138714, 11.489394406058723]","[0.971348425794052, 0.9769779367282511, 0.9737941333684008, 0.9683990040875176, 0.9781856983667521]","[184.32286847603515, 159.37420711859806, 176.4870983592294, 176.37897623987814, 156.56803372779183]","[3.134135348649678, 3.120240766884988, 3.1654536270096303, 3.294924219530021, 3.1170360449302557]",,
NNR,1808.573,3.458,"{'hidden_layers': 1, 'units': 118, 'activation': 'tanh', 'learning_rate': 6.716451863079872e-05}",0.7154139255341624,1881.7312707409812,10.8019126738631,0.6366132856448224,2537.6447861778315,12.447282233051647,"[0.5535354284333152, 0.7479161360200897, 0.8057668002496687, 0.458292228343395, 0.6175558351776438]","[3070.4103749475335, 1252.8566769504341, 1138.436318780168, 5789.261016931541, 1437.2595432794799]","[12.01607067715048, 10.185121272239643, 9.768360187961793, 19.362539550618937, 10.904319477287384]","[0.7148547252074378, 0.7061948378184487, 0.6630978160576124, 0.7693785486732476, 0.7235436999140656]","[1834.4121200587067, 2033.916952504259, 2268.9151902797066, 1287.199162856134, 1984.2129280061004]","[11.044160461505232, 10.500280405111756, 11.070608140676406, 10.351776695309137, 11.042737666712963]",100.0,8.0
