Model,Total Optimization Time (s),Avg Optimization Time per Fold (s),Avg Retraining Time (s),Best Params Per Fold,Avg Train R2,Std Train R2,Avg Train MSE (original units),Std Train MSE (original units),Avg Train MAPE (%),Std Train MAPE (%),Avg Test R2,Std Test R2,Avg Test MSE (original units),Std Test MSE (original units),Avg Test MAPE (%),Std Test MAPE (%),All Fold Test R2,All Fold Test MSE (original units),All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE (original units),All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.0,0.003,"[{}, {}, {}, {}, {}]",0.7448945435091456,0.0217504817226478,1683.2446557797473,267.1189870436348,10.38870382849981,0.7815576783067535,0.6881680278387631,0.0868216955505059,2057.005211456143,1168.9745345116312,11.456261539766086,1.7831073430977131,"[0.591381047863567, 0.7006785612975053, 0.8258579858507391, 0.6504438270505938, 0.6724787171314099]","[2810.1398183450256, 1487.6273995177914, 1020.6782042816577, 3735.7262183910602, 1230.854416745181]","[12.225358155252271, 11.815963939730983, 8.575656683962347, 13.372523912515469, 11.291805007369355]","[0.7622939068019112, 0.7365374574082146, 0.7145662787448218, 0.7692014461887842, 0.7418736284019964]","[1529.2237919481472, 1823.8649305834276, 1922.2935820584805, 1288.1876492628828, 1852.653325045798]","[9.415898245503389, 10.250089724435831, 11.42133722735498, 9.976250942471172, 10.879943002733675]",,
BayesianRidge,15.308,3.062,0.002,"[{""max_iter"": 243, ""alpha_1"": 9.750167209846448e-06, ""alpha_2"": 9.74920365395261e-07, ""lambda_1"": 1.0313818510785009e-07, ""lambda_2"": 1.0768153663024742e-07}, {""max_iter"": 499, ""alpha_1"": 9.898819871824232e-06, ""alpha_2"": 2.9976748128534245e-06, ""lambda_1"": 1.0213116184194721e-07, ""lambda_2"": 4.0907349197496706e-07}, {""max_iter"": 102, ""alpha_1"": 9.93096126815547e-06, ""alpha_2"": 3.2809116160621743e-06, ""lambda_1"": 1.0970073563324039e-07, ""lambda_2"": 8.956511750772852e-06}, {""max_iter"": 241, ""alpha_1"": 9.966935638250137e-06, ""alpha_2"": 1.4626064142860432e-07, ""lambda_1"": 1.359351325886916e-07, ""lambda_2"": 3.1076232420482994e-06}, {""max_iter"": 236, ""alpha_1"": 1.68989064293263e-07, ""alpha_2"": 9.103192887684013e-06, ""lambda_1"": 9.814825111654856e-06, ""lambda_2"": 8.585535234349841e-07}]",0.7405873927805224,0.022179981796693,1711.5268651169367,270.9711143074267,10.571040276974196,0.8649002898918845,0.6851098948941807,0.1105114476631074,2089.6562770512,1279.7276985049375,11.674670019490346,2.3341047135683333,"[0.5530522285468309, 0.6904737695187965, 0.8574935039533585, 0.6446123165992406, 0.6799176558526769]","[3073.7334201321232, 1538.345209515591, 835.2566449512058, 3798.047894195351, 1202.8982164617262]","[12.878103308346525, 12.625684764669568, 7.681711016010468, 13.544113810149172, 11.643737198276]","[0.7583977817921407, 0.7330397871472853, 0.7090388790348983, 0.7648644096479702, 0.7375961062803178]","[1554.2885556703814, 1848.078156740353, 1959.5186336085706, 1312.3945466373273, 1883.3544329280523]","[9.478295984492641, 10.352489994285566, 11.712030607748257, 10.190362479428797, 11.122022318915722]",,
SVR,6.318,1.264,0.012,"[{""C"": 6836.266821039766, ""gamma"": 0.002671078986473278, ""epsilon"": 0.009235123399679508}, {""C"": 3206.407424701013, ""gamma"": 0.004815855590765917, ""epsilon"": 0.005697596286856766}, {""C"": 181.25114428121884, ""gamma"": 0.10692759179981645, ""epsilon"": 0.03245891378380977}, {""C"": 117.4059076671532, ""gamma"": 0.07290550354000516, ""epsilon"": 0.048238996194432414}, {""C"": 114.55707916812904, ""gamma"": 0.03558494611554561, ""epsilon"": 0.06240878256846506}]",0.931265222124578,0.048668964910223,460.4214626761958,331.0077767576618,3.728436608983242,1.7796602939060522,0.3253294150258548,0.2863844702080463,4332.323810953303,2287.0580857720847,14.843040615558632,2.851163287673051,"[0.050247185636967395, 0.009359876007537737, 0.6687782682086683, 0.404709256132305, 0.4935524891437958]","[6531.606493708797, 4923.4809170406625, 1941.3511671805372, 6361.90521445587, 1903.275262380647]","[13.90673067991726, 17.962453952997375, 12.3751793061815, 17.79417637007386, 12.176662768623176]","[0.879773367293387, 0.8860846336856655, 0.9844720212968656, 0.9754299557004614, 0.9305661326465099]","[773.4485249713499, 788.5987876356182, 104.57535876320195, 137.13616088945076, 498.34848112135813]","[5.523512729649102, 5.2031577245705485, 1.6268591480130372, 2.1020537597476827, 4.186599682935839]",,
DecisionTree,6.596,1.319,0.002,"[{""max_depth"": 14, ""min_samples_split"": 17, ""min_samples_leaf"": 11}, {""max_depth"": 5, ""min_samples_split"": 14, ""min_samples_leaf"": 3}, {""max_depth"": 6, ""min_samples_split"": 12, ""min_samples_leaf"": 1}, {""max_depth"": 49, ""min_samples_split"": 9, ""min_samples_leaf"": 2}, {""max_depth"": 5, ""min_samples_split"": 13, ""min_samples_leaf"": 13}]",0.7929631966019921,0.105176411343755,1395.2007916604834,769.2505194251736,8.589009857709721,2.697740642044428,0.4589859741885191,0.2134403414354521,3574.9632596078723,2241.849233942223,14.534393883881377,3.2985817872535805,"[0.23689538905067586, 0.6783849488605629, 0.6936896088385186, 0.38017131534801907, 0.3057886088448193]","[5247.9960647429425, 1598.4266420952315, 1795.3412422090091, 6624.143549312717, 2608.9087996794606]","[15.206781341423122, 11.766412668897287, 11.723249608731026, 19.768785296103676, 14.206740504251766]","[0.7150714221870896, 0.7855588520588808, 0.8795080764926125, 0.9161038379224852, 0.6685737943488916]","[1833.0180532408622, 1484.5058639316971, 811.4698229403064, 468.261165523645, 2378.749052665906]","[10.213449001891824, 8.552672055038833, 6.728578633573113, 5.336014932944149, 12.114334665100678]",,
RandomForest,27.817,5.563,0.129,"[{""n_estimators"": 54, ""max_depth"": 30, ""min_samples_split"": 6, ""min_samples_leaf"": 4}, {""n_estimators"": 52, ""max_depth"": 50, ""min_samples_split"": 8, ""min_samples_leaf"": 1}, {""n_estimators"": 64, ""max_depth"": 38, ""min_samples_split"": 13, ""min_samples_leaf"": 6}, {""n_estimators"": 153, ""max_depth"": 26, ""min_samples_split"": 3, ""min_samples_leaf"": 2}, {""n_estimators"": 185, ""max_depth"": 12, ""min_samples_split"": 7, ""min_samples_leaf"": 1}]",0.8491307697425041,0.0770201056590967,1001.6232761321778,528.4870438445606,6.979993681375516,1.790404319866738,0.5882435223124662,0.185576686271369,2680.785196849089,1693.3223025544364,12.029333595033842,2.991555935918655,"[0.3726523233006237, 0.66755639405474, 0.8571278543329685, 0.5660640339650342, 0.47781700590896503]","[4314.373273735322, 1652.2445540234621, 837.3997842720604, 4637.497749622928, 1962.410622591672]","[13.336054936839977, 11.115805446783233, 7.3713716763847765, 15.271861631455725, 13.051574283705502]","[0.8188269550016685, 0.8651450954530113, 0.7321278536438942, 0.9258466762166446, 0.9037072683973022]","[1165.5323056454513, 933.5563556809653, 1804.0226834033567, 413.8821247885475, 691.1229111425691]","[7.457666861675789, 6.551324682961863, 9.76032619223087, 4.98332885492777, 6.147321815081285]",,
XGBoost,17.887,3.577,0.067,"[{""n_estimators"": 118, ""learning_rate"": 0.020643306102205234, ""max_depth"": 4, ""subsample"": 0.8398761212189595, ""colsample_bytree"": 0.8111458736039974}, {""n_estimators"": 53, ""learning_rate"": 0.028597405088915135, ""max_depth"": 4, ""subsample"": 0.7939580633873855, ""colsample_bytree"": 0.6916562471377841}, {""n_estimators"": 186, ""learning_rate"": 0.011137147077681377, ""max_depth"": 9, ""subsample"": 0.6612008022813144, ""colsample_bytree"": 0.7211265501447187}, {""n_estimators"": 197, ""learning_rate"": 0.09534232854168795, ""max_depth"": 3, ""subsample"": 0.9977843042414765, ""colsample_bytree"": 0.6903093388496309}, {""n_estimators"": 73, ""learning_rate"": 0.05702483623566469, ""max_depth"": 6, ""subsample"": 0.8103508310526867, ""colsample_bytree"": 0.6005129689534968}]",0.9221795484975792,0.0724928303032068,528.1178250079479,498.77928691989024,4.891392056410415,3.4744291229744118,0.5641579425804226,0.1576783137763671,2826.2771830800866,1686.9151343943242,12.653160664171455,3.532379103252659,"[0.505772493765828, 0.5680097127177564, 0.8309977223364561, 0.49181093763260186, 0.4241988464494707]","[3398.8839414533354, 2146.9915101048578, 990.5532684219739, 5431.044710688705, 2163.91248473156]","[12.175479830503496, 12.864397486729676, 7.586441959028438, 17.527122576967287, 13.112361467628386]","[0.9314290658602674, 0.8245000644287767, 0.8759147410027556, 0.9990724343025194, 0.9799814368935772]","[441.1342701055829, 1214.9285991821496, 835.6696467031048, 5.177149750911532, 143.67945929799052]","[5.229139780505637, 9.318928049746262, 6.910684089297233, 0.6398288892483607, 2.3583794732545815]",,
GPR,39.22,7.844,0.314,"[{""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 3.7739214942262637e-10}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.07435396176241768}]",0.9665640682070212,0.0246814812290863,213.2829916771139,155.59912694067384,3.396696843639804,2.033707563751943,0.6120466766446937,0.1467644739556127,2537.398724063336,1535.8596233213982,11.78348378161785,2.135523578408941,"[0.5219888326989688, 0.7667599605123783, 0.770232688594431, 0.5467814329828413, 0.4544704684348493]","[3287.361508375923, 1159.2028787195115, 1346.7082481718037, 4843.571976377829, 2050.149008671614]","[12.024628322342885, 10.456982394966511, 8.876473408150456, 13.823712134252936, 13.735622648376461]","[0.9345897170767021, 1.0, 0.9603306609680841, 0.9578562700482669, 0.9800436929420524]","[420.8009964684024, 6.197004346506492e-15, 267.15874876388904, 235.22258489582703, 143.23262825745093]","[5.350787272705427, 1.3205712586126259e-08, 4.413450624069115, 3.787645033667647, 3.43160127455112]",,
NNR,3682.257,736.451,3.332,"[{""hidden_layers"": 2, ""units"": 115, ""activation"": ""selu"", ""learning_rate"": 0.00024295361266406175}, {""hidden_layers"": 1, ""units"": 96, ""activation"": ""tanh"", ""learning_rate"": 0.0001718986729314186}, {""hidden_layers"": 1, ""units"": 82, ""activation"": ""tanh"", ""learning_rate"": 0.00852203942849181}, {""hidden_layers"": 3, ""units"": 128, ""activation"": ""tanh"", ""learning_rate"": 7.911656082019636e-05}, {""hidden_layers"": 2, ""units"": 59, ""activation"": ""tanh"", ""learning_rate"": 0.0017905716664152994}]",0.8774626907988253,0.0888283890834602,790.4369191253559,592.7951444145873,7.078504406877516,2.343898555670753,0.6605779051733408,0.1120086809480735,2286.319815847944,1514.928245922803,11.453658326161692,1.7617730330851304,"[0.571872208497364, 0.7278737867688241, 0.8233894612140433, 0.5645638644577465, 0.615190204928726]","[2944.305319054253, 1352.4671426295142, 1035.146678794925, 4653.530144396905, 1446.1497943641236]","[11.094061879581519, 11.681852633518268, 8.764604106204537, 13.579950399280404, 12.147822612223738]","[0.8971967501841737, 0.7527603508016858, 0.9329773901823705, 0.8269661009642177, 0.9774128618616794]","[661.3594687156075, 1711.5591506350784, 451.3732019422414, 965.7778524211158, 162.11492191273663]","[6.68610439110684, 9.7198433995564, 7.183572439129242, 8.357420131373573, 3.4455816732215245]",100.0,8.0
Ridge,4.83,0.966,0.002,"[{""alpha"": 0.0011155086109831643}, {""alpha"": 1.653094092443697}, {""alpha"": 2.824004619417333}, {""alpha"": 0.10054144115447075}, {""alpha"": 5.004921897078441}]",0.7423030678233914,0.023720401276846267,1701.4256659982452,283.68295822782653,10.506286376070745,0.9124453885296987,0.6949665719973155,0.0980645168236611,2019.9484852135479,1211.756479966542,11.48487631041331,2.169704829895726,"[0.5913680435219959, 0.6982020646065259, 0.8547144238400838, 0.6504279528410365, 0.6801203751769351]","[2810.229251343347, 1499.9355868240061, 851.5453419289546, 3735.8958669495137, 1202.1363790219193]","[12.225574087562734, 12.32819710021238, 7.752318545869742, 13.37479143162062, 11.74350038680107]","[0.7622939060102708, 0.7355304063564072, 0.7104592380264227, 0.7691891726526457, 0.7340426160712105]","[1529.223797040972, 1830.8364153289633, 1949.9530260075487, 1288.2561532348757, 1908.8589383788667]","[9.415888928322548, 10.268855545151013, 11.649833087307737, 9.98190164294158, 11.214952676630853]",,
Lasso,4.79,0.958,0.001,"[{""alpha"": 1.9140510092500143}, {""alpha"": 0.48960346484054507}, {""alpha"": 8.959521070852956}, {""alpha"": 1.7669661957579461}, {""alpha"": 1.8215258277824682}]",0.058209482902200495,0.13016036070443174,6166.898101645328,914.0824999253873,23.778680870668808,1.890981676037218,0.019718828062171335,0.15411639147055936,6336.1216055049135,2865.7772298221994,23.779493067740074,3.8013611929923083,"[-0.049439945235507654, 0.28653231354796793, -0.024166096259173653, -0.005752954189848225, -0.10857917755258173]","[7217.171307520419, 3545.9340421370403, 6002.824861781955, 10748.537634136097, 4166.140181949053]","[24.08709424964265, 20.202757166661755, 21.230302539473904, 29.966528690317855, 23.410782692604197]","[0.0, 0.2910474145110019, 0.0, 3.3306690738754696e-16, 2.220446049250313e-16]","[6433.254492444971, 4907.846654024316, 6734.640790181715, 5581.4372663555305, 7177.31130522011]","[24.09819539160105, 20.918319338393616, 25.05947001033672, 23.069830530441553, 25.747589082571103]",,
