Model,Total Optimization Time (s),Avg Optimization Time per Fold (s),Avg Retraining Time (s),Best Params Per Fold,Avg Train R2,Std Train R2,Avg Train MSE (original units),Std Train MSE (original units),Avg Train MAPE (%),Std Train MAPE (%),Avg Test R2,Std Test R2,Avg Test MSE (original units),Std Test MSE (original units),Avg Test MAPE (%),Std Test MAPE (%),All Fold Test R2,All Fold Test MSE (original units),All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE (original units),All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.0,0.002,"[{}, {}, {}, {}, {}, {}]",0.4834683539912962,0.0275168447854136,3377.0656941108105,487.1267478688565,16.44191853338814,1.248209518537189,0.3936069139107873,,3989.59232367564,,18.5838733229092,,"[0.4368849751139927, 0.0790407195511762, 0.17681944366508984, 0.639313721467275, -0.030612410563336523, 0.03668808240608101]","[2016.7456059124545, 4420.535203605471, 6458.06633000721, 1258.62185979011, 6108.627557892599, 5939.064151678783]","[12.765847872290657, 16.44417891900731, 26.2310073891582, 12.190560885786377, 20.259841754397762, 27.102600434677598]","[0.47918244575998326, 0.49539830595706913, 0.4818606642880723, 0.4326661777007741, 0.5103097271954509, 0.5013928030464274]","[3734.626562926229, 3331.538845182128, 3189.3869334395154, 4143.955588771735, 3065.67702434742, 2797.2092099978368]","[17.715759038554637, 16.340881130690455, 16.101998359638827, 18.132183694821887, 15.208421512611572, 15.152267464011468]",,
BayesianRidge,12.264,2.044,0.001,"[{""max_iter"": 361, ""alpha_1"": 9.25213727728991e-06, ""alpha_2"": 2.3594960481826793e-07, ""lambda_1"": 1.1742784590323252e-07, ""lambda_2"": 8.00475183119381e-06}, {""max_iter"": 438, ""alpha_1"": 9.417627813122837e-06, ""alpha_2"": 4.07628966954851e-06, ""lambda_1"": 1.4566345917106005e-07, ""lambda_2"": 3.6497832452156917e-06}, {""max_iter"": 156, ""alpha_1"": 1.0019110703892587e-07, ""alpha_2"": 7.876816388034656e-07, ""lambda_1"": 9.949780400414017e-06, ""lambda_2"": 3.972567014683281e-06}, {""max_iter"": 340, ""alpha_1"": 5.854595859452912e-07, ""alpha_2"": 4.646958163087296e-07, ""lambda_1"": 1.0207605941479321e-07, ""lambda_2"": 1.4430479392783589e-06}, {""max_iter"": 268, ""alpha_1"": 6.724868986276625e-06, ""alpha_2"": 2.6988007303424176e-07, ""lambda_1"": 1.0065063002100414e-07, ""lambda_2"": 9.204121799301569e-07}, {""max_iter"": 206, ""alpha_1"": 4.106934893459431e-06, ""alpha_2"": 2.46915027050909e-07, ""lambda_1"": 1.3834089832804165e-07, ""lambda_2"": 3.923330722875806e-06}]",0.4827166771838604,0.0279640303993394,3382.1250613183724,490.2831610257716,16.431909940418638,1.2012449477441076,0.3874181655037376,,4030.3094487622097,,18.6696874823717,,"[0.4411875201388654, 0.07859745212970615, 0.2049989954832495, 0.575604419937494, -0.020291334564683794, 0.024310817820816788]","[2001.3364294748185, 4422.662853853227, 6236.9903906023565, 1480.9367199603917, 6047.452659719179, 6015.373150925665]","[12.707714876529014, 16.328205145680425, 26.03739516139362, 12.618131580929257, 19.894139209975638, 27.4460790879188]","[0.47852561968796714, 0.4949027464785063, 0.48134427897050447, 0.43093407870981304, 0.5098153328119208, 0.5007780064444507]","[3739.336465800669, 3334.810684481165, 3192.5655235811187, 4156.607295776987, 3068.772151179068, 2800.6582470912276]","[17.744972982919986, 16.380185827176433, 16.120949221529425, 17.956607039142156, 15.237618560509675, 15.151126011234146]",,
SVR,6.087,1.015,0.022,"[{""C"": 7196.924938477722, ""gamma"": 0.22007696225106055, ""epsilon"": 0.013878074910376294}, {""C"": 3512.8611306445146, ""gamma"": 0.2999034319977764, ""epsilon"": 0.009623339658382047}, {""C"": 1067.334245127257, ""gamma"": 0.018688159900889855, ""epsilon"": 0.04283559376277221}, {""C"": 156.34330311467235, ""gamma"": 0.029730564742470728, ""epsilon"": 0.008656383124265888}, {""C"": 487.4978981988422, ""gamma"": 0.3002713783129703, ""epsilon"": 0.002011603112281243}, {""C"": 8528.414094425358, ""gamma"": 0.10016649745037563, ""epsilon"": 0.009526462122628872}]",0.6100163259519366,0.0913821801855002,2537.7984876082205,644.7156756103064,11.59331557656328,2.24035262272316,0.1918852759934637,,5316.762960373551,,18.05785034212219,,"[-0.09607767581241222, -0.7009923648902321, 0.2102838069052282, -0.548769120680638, -0.5092525270691719, 0.6432184508684977]","[3925.5032075922627, 8164.635277247991, 6195.529665562062, 5404.460294376564, 8945.614747288359, 2199.6494279027115]","[16.84444395269148, 16.320936095478423, 25.472160186511246, 14.565348221262461, 23.034957404752003, 17.23006943380456]","[0.6607262379028269, 0.6880390102415008, 0.5560702423007436, 0.505504329581294, 0.7218835531094505, 0.5278745825758029]","[2432.8304484301166, 2059.6644201386307, 2732.592704287872, 3611.926552784017, 1741.1315859765966, 2648.645214032093]","[9.367182885794916, 9.955982467205256, 13.119610027166551, 15.101127244499368, 9.973622158419968, 12.042368676293615]",,
DecisionTree,6.391,1.065,0.001,"[{""max_depth"": 32, ""min_samples_split"": 18, ""min_samples_leaf"": 15}, {""max_depth"": 23, ""min_samples_split"": 12, ""min_samples_leaf"": 15}, {""max_depth"": 38, ""min_samples_split"": 13, ""min_samples_leaf"": 18}, {""max_depth"": 5, ""min_samples_split"": 20, ""min_samples_leaf"": 7}, {""max_depth"": 18, ""min_samples_split"": 19, ""min_samples_leaf"": 16}, {""max_depth"": 10, ""min_samples_split"": 3, ""min_samples_leaf"": 12}]",0.4846370546000382,0.0334823598786629,3351.98059337738,316.99740362952315,15.116261930242926,0.7360780985987471,0.3989286092058257,,3954.57973005431,,16.89958575527459,,"[0.2593318775774992, 0.035235523175775385, -5.444739935356324e-06, 0.2415153355844113, 0.3119971783496196, 0.2569917870484505]","[2652.635989667276, 4630.79684794651, 7845.303734155973, 2646.747147777653, 4077.9180933248613, 4580.835512722945]","[15.264299787601956, 17.277150858086777, 26.432675822253728, 13.377102526207604, 15.039338047180065, 19.616627892381754]","[0.4768345725763272, 0.48901731457953, 0.48934125139703155, 0.5330730455296001, 0.42878481465853635, 0.49077132885920427]","[3751.46245773561, 3373.668154092524, 3143.340464593468, 3410.55739402974, 3576.058923185149, 2856.7961666277893]","[16.03272275962923, 14.981003966973304, 14.37338586285401, 15.349878870356049, 15.75728466923428, 14.20329545241067]",,
RandomForest,31.254,5.209,0.108,"[{""n_estimators"": 149, ""max_depth"": 46, ""min_samples_split"": 17, ""min_samples_leaf"": 1}, {""n_estimators"": 84, ""max_depth"": 7, ""min_samples_split"": 10, ""min_samples_leaf"": 10}, {""n_estimators"": 105, ""max_depth"": 29, ""min_samples_split"": 19, ""min_samples_leaf"": 1}, {""n_estimators"": 147, ""max_depth"": 39, ""min_samples_split"": 17, ""min_samples_leaf"": 1}, {""n_estimators"": 175, ""max_depth"": 14, ""min_samples_split"": 18, ""min_samples_leaf"": 1}, {""n_estimators"": 117, ""max_depth"": 11, ""min_samples_split"": 16, ""min_samples_leaf"": 2}]",0.6209122551784412,0.0819913394385899,2462.5654594048265,545.119404515083,13.066365558779475,1.2166378129131878,0.31928090631665,,4478.5993327420365,,17.770232364643153,,"[0.2493094112095502, 0.05125117876433627, 0.07665918693864471, 0.21544617471247374, 0.01578334711500784, 0.0623593765781455]","[2688.530547820929, 4553.922907001422, 7243.849687731183, 2737.715997142486, 5833.631447794986, 5780.794062666162]","[15.18886400011732, 16.551117885711587, 27.65456061690843, 13.483690689805766, 16.676530051830945, 22.09293044572145]","[0.6637010122434348, 0.4728716349544807, 0.6645997369403227, 0.6557365859956779, 0.6907940071945016, 0.57777055374223]","[2411.499233342029, 3480.2670012381727, 2064.543536353797, 2514.5906032734597, 1935.7658515563305, 2368.7265306651693]","[12.809277879698142, 15.078628655107615, 12.037002433544757, 13.651925518790641, 11.69533913143503, 13.126019734100671]",,
XGBoost,12.167,2.028,0.054,"[{""n_estimators"": 104, ""learning_rate"": 0.010523466504535051, ""max_depth"": 3, ""subsample"": 0.6662618975690248, ""colsample_bytree"": 0.9189013753537684}, {""n_estimators"": 76, ""learning_rate"": 0.019787529063011646, ""max_depth"": 3, ""subsample"": 0.6564342440023815, ""colsample_bytree"": 0.7860691334222748}, {""n_estimators"": 100, ""learning_rate"": 0.014485759186359186, ""max_depth"": 3, ""subsample"": 0.7034478205643265, ""colsample_bytree"": 0.9923729880752216}, {""n_estimators"": 165, ""learning_rate"": 0.010071435043906169, ""max_depth"": 3, ""subsample"": 0.8357041104675436, ""colsample_bytree"": 0.7667395283519415}, {""n_estimators"": 51, ""learning_rate"": 0.03195129887665883, ""max_depth"": 3, ""subsample"": 0.8682541744830796, ""colsample_bytree"": 0.9933139560899197}, {""n_estimators"": 171, ""learning_rate"": 0.014457190804277535, ""max_depth"": 3, ""subsample"": 0.8740344717686797, ""colsample_bytree"": 0.9121200901371722}]",0.5671328192996727,0.0634114093463533,2839.32393863206,603.7311917962876,14.742428868174564,1.6133801089414266,0.2232003044838659,,5110.734560401635,,18.6363340180933,,"[0.23922672540355983, -0.20729963244075478, -0.11225906286339637, 0.21918933981338073, -0.021462655462068048, -0.1858637826757028]","[2724.640776453424, 5794.947333505767, 8725.96266863361, 2724.6541489347574, 6054.395292118673, 7311.153274273502]","[15.91958078701487, 15.753950885538925, 26.750442434386095, 14.981799578849046, 16.78415743760243, 24.305397189567636]","[0.4718354161879246, 0.5347518314394597, 0.5552373278549587, 0.6102468051376098, 0.5746053360809589, 0.6561201990971246]","[3787.3099096664387, 3071.7145116786137, 2737.719677414531, 2846.859937851171, 2663.1581631949493, 1929.181431986655]","[17.178747418227932, 15.520468647583826, 14.627735504139483, 14.738957078024939, 14.107461568633042, 12.281202992438184]",,
GPR,33.336,5.556,0.13,"[{""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}]",0.9821603642986884,0.0023114654490244,116.21270606339652,18.51741520613142,2.9448927768152324,0.2291490727267621,0.1537759155511696,,5567.492751607345,,21.2624468840048,,"[-0.6282701950190837, -0.05123379585043475, -0.3085482090572833, 0.3701427755208814, -0.16642429107576984, -0.056965064668321075]","[5831.502652069533, 5045.843068666358, 10265.902255672232, 2197.899167390198, 6913.609321632462, 6516.459736974502]","[21.285361898828185, 15.509555632880403, 30.005273430825284, 16.570786786283485, 17.627157610195532, 28.113940931066118]","[0.980138794219475, 0.9830402925539223, 0.9831123049162868, 0.9847589568244698, 0.978579672593035, 0.9833321646849419]","[142.41875312349708, 111.97331445091238, 103.95156345715338, 111.32459156055485, 134.1006943214126, 93.50731946684883]","[3.219238671437754, 2.8614955105002506, 2.7448320186496638, 2.9154927714913446, 3.2274884105405537, 2.700809278271828]",,
NNR,3899.122,649.854,3.047,"[{""hidden_layers"": 4, ""units"": 90, ""activation"": ""selu"", ""learning_rate"": 0.001607252991379711}, {""hidden_layers"": 3, ""units"": 48, ""activation"": ""selu"", ""learning_rate"": 0.002661901888489057}, {""hidden_layers"": 3, ""units"": 71, ""activation"": ""relu"", ""learning_rate"": 6.319699986074397e-05}, {""hidden_layers"": 2, ""units"": 37, ""activation"": ""relu"", ""learning_rate"": 0.00025302131160883685}, {""hidden_layers"": 3, ""units"": 35, ""activation"": ""selu"", ""learning_rate"": 0.0031815306004523156}, {""hidden_layers"": 1, ""units"": 69, ""activation"": ""tanh"", ""learning_rate"": 0.0023357760386764335}]",0.6075109950342217,0.1101683065663272,2546.573192275829,729.8388775711754,13.65034680586293,1.629756769809463,0.3215252048803581,,4463.8336031728695,,18.372170930018264,,"[0.31095134529943835, -0.282127182032194, 0.24977379980488468, 0.46953195363013034, -0.1530441399766016, 0.029721043259783975]","[2467.7655278485126, 6154.11393749209, 5885.720363635673, 1851.0786764534357, 6834.302727906825, 5982.017728481264]","[13.723017392317537, 16.730271106869868, 26.050974740400257, 12.684611418173358, 18.767220411786123, 25.861237816309075]","[0.7008544783267644, 0.684760408716148, 0.5231452410410022, 0.4949500483413172, 0.7344111798261919, 0.5069446139539061]","[2145.082865057259, 2081.3107769950097, 2935.261294691288, 3689.017801376636, 1662.703118988354, 2766.063296546427]","[12.352536338283489, 12.64857294317576, 14.332755162772202, 16.060138011966565, 11.838804494149077, 14.669273884830478]",100.0,8.0
Ridge,14.477,2.413,0.002,"[{""alpha"": 3.9099206613026674}, {""alpha"": 1.0088260852939408}, {""alpha"": 3.2097092837194814}, {""alpha"": 4.125899817873399}, {""alpha"": 0.5550355869690433}, {""alpha"": 0.001022697399385415}]",0.4810663954332552,0.02969553227990606,3393.7824544885093,503.3103392780468,16.439750297874742,1.2080129366795704,0.3832254585321807,,4057.894182052991,,18.703088780337232,,"[0.44598306737837967, 0.07867388072877046, 0.24350342882668363, 0.49432896466834786, -0.024288536657556925, 0.03667806962756692]","[1984.1616101291725, 4422.296002332319, 5934.913060644055, 1764.5490189429806, 6071.144804902686, 5939.125883017145]","[12.758222317871065, 16.34030504036733, 25.73166454528213, 13.035901123373089, 20.03968090061052, 27.102879814059623]","[0.47415899371736614, 0.4950012308243119, 0.4785266273935961, 0.42718798940795466, 0.510130728631306, 0.5013928026249963]","[3770.648231710645, 3334.160459902914, 3209.9094704753056, 4183.969718196228, 3066.797634283874, 2797.2092123620846]","[17.81013478646768, 16.374971941125256, 16.152285532008516, 17.92308778791653, 15.225767225190262, 15.152254514540184]",,
Lasso,6.396,1.066,0.002,"[{""alpha"": 6.246812745686945}, {""alpha"": 0.6479136001153365}, {""alpha"": 1.753325085949974}, {""alpha"": 3.7320878317729265}, {""alpha"": 0.3386590306839995}, {""alpha"": 4.153716035487365}]",0.05339453258082657,0.12337267974511507,6182.050395755986,1096.9636278383912,23.60163008461193,2.744164102009105,-0.06831107825702754,,7028.651504916463,,26.359190898147695,,"[-0.12079463561680415, -0.3499018357867105, -0.4513508394048633, -0.33620110872393294, -0.10167354895071612, -0.78289536063858]","[4014.024766907987, 6479.427172500704, 11386.226164913067, 4662.700037709189, 6529.819874033148, 10992.005527151228]","[18.00249031340848, 15.532142155911789, 19.5217732110096, 26.111858246955936, 18.750391400174212, 46.074778210757536]","[0.0, 0.015455616302893715, 1.1102230246251565e-16, 0.0, 0.3049115791820656, 0.0]","[7170.700243343066, 6500.271199671687, 6155.461887596839, 7304.263250122449, 4351.559996050785, 5610.045797751083]","[25.453141869278824, 24.727780379684837, 24.325773959635942, 26.174680453153655, 18.714346324906455, 22.21405752101188]",,
