Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.005,{},0.6894851879081889,2034.453332622062,11.75392976300484,0.07979462878177217,5493.512978897149,17.12750151609126,"[0.09295597967479186, -0.17850267828195387, 0.6980593292888317, 0.2735942816294368, -0.48713376840224565]","[7401.1420020490195, 12783.87040024343, 2272.55142219853, 1709.1140877481328, 3300.8869822466313]","[22.48397130002814, 21.36793915146159, 11.264856939434054, 10.69081996679002, 19.829920222742505]","[0.7414873754880453, 0.7569713849960674, 0.5912984832040179, 0.6681480335573384, 0.6895206622954755]","[1560.5989575728147, 1309.4655784487775, 2480.6987109890147, 2513.840623878537, 2307.6627922211646]","[10.519098202268731, 10.005077356746222, 12.986268215202923, 12.525655287688231, 12.733549753118092]",,
BayesianRidge,12.194,0.002,"{'max_iter': 363, 'alpha_1': 1.1188113017901666e-07, 'alpha_2': 9.98245057122378e-06, 'lambda_1': 6.464770401391607e-07, 'lambda_2': 1.1028724371348851e-07}",0.6786895032299989,2101.696033506945,11.100945718165386,0.24933907265345961,4375.184516582863,15.224756947313978,"[0.22715750812402347, 0.14155184924395525, 0.7240050600363771, 0.3768901526059777, -0.22290920674303538]","[6306.107420829168, 9312.061912826928, 2077.2713124622783, 1466.0757638095008, 2714.4061729864384]","[19.636049919830157, 17.464085705202027, 12.096987618779966, 9.611786278762434, 17.3148752139953]","[0.7344651166201157, 0.7408532139555081, 0.5742148181004352, 0.6607729618847407, 0.6831414055891946]","[1602.991200078521, 1396.3121012947433, 2584.391563253571, 2569.7081691980106, 2355.0771337098777]","[10.094261374098537, 9.273865109234494, 11.91409473915861, 12.089430681905764, 12.133076686429522]",,
SVR,2.256,0.001,"{'C': 15.175711453705341, 'gamma': 0.0019245643568444792, 'epsilon': 0.02021169561883898}",0.5949807992659576,2649.8691858049065,8.166555151349968,0.5255368835497363,3176.9233038951065,10.623054651710776,"[0.4022809669444767, 0.2945005327588821, 0.8280732510486869, 0.4811193775808392, 0.6217102894157962]","[4877.1651009675, 7652.942944346418, 1294.0038085065578, 1220.8414102595327, 839.6632553955249]","[14.116516324883822, 13.032820023582195, 8.32676240938778, 8.110655797481627, 9.52851870321846]","[0.6240376160703465, 0.6983789157514415, 0.4713387909351371, 0.5823759252904006, 0.598772748282462]","[2269.6241839441573, 1625.168408878498, 3208.8189693011486, 3163.5803631619306, 2982.154003738797]","[7.180844154111386, 7.691453250311363, 8.440854825208605, 8.699041301378532, 8.820582225739958]",,
DecisionTree,2.505,0.004,"{'max_depth': 44, 'min_samples_split': 12, 'min_samples_leaf': 1}",0.7818118755728876,1450.9185073341882,8.821678169836707,0.08387428433587327,5183.769321648886,17.492516936850116,"[-0.2759340052809185, 0.26852633032962636, 0.6831079465212444, -0.34904449629454115, 0.09271564640395524]","[10411.147140291441, 7934.699484848611, 2385.082755232555, 3174.081501984936, 2013.8357258868841]","[23.166511624163753, 18.24612265103613, 14.251838798913576, 18.368463999430503, 13.429647610706615]","[0.872040856566632, 0.8535611432544542, 0.6975295963104466, 0.7454205434694313, 0.7405072382634734]","[772.4686801312864, 789.0290707231363, 1835.9069142372666, 1928.4869295539943, 1928.7009420252573]","[7.969232016938323, 7.146289533107386, 9.783755642767785, 8.793665091039864, 10.41544856533018]",,
RandomForest,12.612,0.159,"{'n_estimators': 168, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 1}",0.9373016697557276,408.0155828720567,4.693349466402349,0.3304094480132841,3605.227158345663,14.493085600243276,"[0.4108247802205628, 0.35127298314444166, 0.7499183006521508, -0.28301145679695594, 0.42304263284622123]","[4807.450760893206, 7037.100773252426, 1882.2357391609196, 3018.716538290392, 1280.631980131373]","[18.90790050714838, 12.16783416623409, 11.834550453324272, 18.368317906641277, 11.186824967868363]","[0.941225807514026, 0.9555238281299707, 0.9093870609480309, 0.9545351074204046, 0.9258365447662059]","[354.8103064558592, 239.64262860170928, 549.9940466757661, 344.40505250586887, 551.2258801210801]","[4.258045255188065, 4.285966255186105, 5.220980631176891, 4.2506601592400575, 5.451095031220628]",,
XGBoost,8.446,0.079,"{'n_estimators': 187, 'learning_rate': 0.1697278750001236, 'max_depth': 4, 'subsample': 0.6233358779386547, 'colsample_bytree': 0.964523914061411}",0.9999988413538231,0.007713161028888476,0.027061614854618127,0.3325533036152607,3749.3128157412443,14.085708750816503,"[0.5401349440180925, 0.2948736703227135, 0.5536817186891579, -0.16526650287123856, 0.4393426879175779]","[3752.3278968114823, 7648.895314803108, 3359.207100379012, 2741.6818806240003, 1244.4518860886217]","[15.977021831862606, 10.662981722166874, 16.928026901095198, 16.741750510455862, 10.118762788501963]","[0.9999990524220354, 0.9999989761671891, 0.9999990628195622, 0.9999985963097805, 0.9999985190505483]","[0.005720375113816757, 0.005516526619073553, 0.005688411245294332, 0.010633215571678196, 0.011007276594579542]","[0.023232922160541007, 0.022806582381499876, 0.025413143685839554, 0.029634192921650804, 0.034221233123559396]",,
GPR,8.186,0.077,"{'kernel': 'Matern_nu_0.5', 'alpha': 0.09962515213396403}",0.9760561535219561,154.15160538948865,2.8496705966306424,0.27190675411933174,4240.27510422726,14.040070297261718,"[0.3247060945188045, 0.17940956338331537, 0.6368385923923154, 0.23121656768427956, -0.012637047382056066]","[5510.147220630651, 8901.398347842432, 2733.3282773818023, 1808.821931558471, 2247.6797437229434]","[17.500730732257605, 14.300871545380508, 15.46545067114148, 9.223532103025068, 13.709766434503933]","[0.971444954454027, 0.9712391178854529, 0.9829823263645137, 0.9804757262153677, 0.9741386426904186]","[172.3821975681846, 154.9668755434952, 103.29230334776638, 147.90002035445443, 192.2166301335426]","[2.8063656359473286, 2.9755838548726405, 2.3665904473392385, 2.8440127126266153, 3.2558003323673903]",,
NNR,1304.496,2.733,"{'hidden_layers': 4, 'units': 97, 'activation': 'tanh', 'learning_rate': 2.6542850021519735e-05}",0.6559927535329502,2245.3801273494605,11.181398917716875,0.39228802229008775,3806.1332318681284,13.078361230209527,"[0.16101689566636623, 0.2699164996383474, 0.8234863303827251, 0.4985787157049789, 0.20844167005802106]","[6845.790229967919, 7919.619549431754, 1328.52719039609, 1179.7624374540035, 1756.9667520908786]","[19.432082230446852, 13.377462292616315, 8.456235956347943, 9.405403668864478, 14.720622002772043]","[0.7313873937731715, 0.6829057845920103, 0.570473714250695, 0.6410727850714792, 0.6541240899773948]","[1621.5709157721235, 1708.5393841184732, 2607.0989697992604, 2718.940687846725, 2570.750679210721]","[8.924214146599676, 11.555626141513569, 11.583884215307169, 11.756171072852773, 12.087099012311187]",100.0,8.0
