Model,Total Optimization Time (s),Avg Optimization Time per Fold (s),Avg Retraining Time (s),Best Params Per Fold,Avg Train R2,Std Train R2,Avg Train MSE (original units),Std Train MSE (original units),Avg Train MAPE (%),Std Train MAPE (%),Avg Test R2,Std Test R2,Avg Test MSE (original units),Std Test MSE (original units),Avg Test MAPE (%),Std Test MAPE (%),All Fold Test R2,All Fold Test MSE (original units),All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE (original units),All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.0,0.002,"[{}, {}, {}, {}, {}, {}]",0.5253635684778837,0.1065745568083807,537.0277944644162,178.60807736815838,14.796951511112493,4.098158166386726,-1.051351203216019,,2287.461962265262,,31.55058584886673,,"[-0.29102435299270324, -1.1855744423770114, -0.14708664794322446, -5.4591638750376665, -34.47644470207816, 0.2742639760773594]","[702.6771409896427, 1685.6315739314114, 1195.8973356006736, 3513.9657344784964, 5925.281541058936, 377.85419314492924]","[13.112568360199747, 21.760559988481116, 21.09905068683575, 32.808361219775506, 93.167288052776, 10.142369765351605]","[0.4698397126274332, 0.5012681605981734, 0.43453921823106345, 0.5800910581608665, 0.7158638601552111, 0.45057940109455485]","[640.4844515005697, 542.0062624881126, 597.0100058076724, 544.17436980853, 194.57361915372095, 703.9180580278922]","[17.305697476219862, 16.125495029942453, 15.551179744138219, 15.290231855380185, 6.678895739024342, 17.830209221969877]",,
BayesianRidge,13.496,2.249,0.002,"[{""max_iter"": 356, ""alpha_1"": 3.453365625745688e-06, ""alpha_2"": 4.571086866060358e-07, ""lambda_1"": 1.1864326146464419e-07, ""lambda_2"": 9.851219563507859e-06}, {""max_iter"": 487, ""alpha_1"": 9.721848848263193e-06, ""alpha_2"": 6.967049939192745e-07, ""lambda_1"": 1.0889572170197342e-07, ""lambda_2"": 5.3106058022741245e-06}, {""max_iter"": 359, ""alpha_1"": 5.068058651182167e-07, ""alpha_2"": 1.0222780439345334e-06, ""lambda_1"": 1.0785164569414456e-07, ""lambda_2"": 9.98314963661842e-06}, {""max_iter"": 321, ""alpha_1"": 9.868675327986303e-06, ""alpha_2"": 3.7733085133948052e-06, ""lambda_1"": 1.1375469132363195e-07, ""lambda_2"": 2.0330127916842186e-06}, {""max_iter"": 290, ""alpha_1"": 9.739010577311412e-06, ""alpha_2"": 5.934373546736469e-07, ""lambda_1"": 5.907343708436722e-07, ""lambda_2"": 3.830712253992767e-07}, {""max_iter"": 360, ""alpha_1"": 6.5673170573736425e-06, ""alpha_2"": 3.955562340949148e-07, ""lambda_1"": 2.0635663708186492e-07, ""lambda_2"": 1.7426262724395838e-07}]",0.4983678267153763,0.1191816169615833,569.0639321459197,198.2108437349681,15.166351500779038,4.272528435815981,-0.7546903559320663,,1956.6554173930112,,30.39173924346893,,"[-0.17146649401730363, -0.8599642745277023, 0.09947249415395709, -2.7058527100527483, -34.71727441677397, -0.47936418229207245]","[637.6043371088073, 1434.5036466104054, 938.8466397088656, 2016.0874831610759, 5965.504959020037, 770.2304158006957]","[12.543367581744691, 18.436973395922564, 19.2905229490482, 26.051512631610358, 94.06575671493533, 14.314989857519897]","[0.4398038925553026, 0.4827231328470958, 0.41095594288927995, 0.5592130897077419, 0.7083267352534057, 0.3891841670394318]","[676.7706015621064, 562.1604222689591, 621.9090824593144, 571.2308437099929, 199.7349677627328, 782.5776751124126]","[17.53976430157309, 16.13773555170442, 15.76584021049764, 15.846575051210298, 6.8051016637091415, 18.90309222597964]",,
SVR,6.125,1.021,0.008,"[{""C"": 2372.352069251167, ""gamma"": 0.009258913542651985, ""epsilon"": 0.028665982098443614}, {""C"": 7627.291820151638, ""gamma"": 0.3056967238326326, ""epsilon"": 0.02760434628560423}, {""C"": 8345.06105996683, ""gamma"": 0.3944796175264553, ""epsilon"": 0.014965474852875192}, {""C"": 1193.924782857191, ""gamma"": 0.021887913026431356, ""epsilon"": 0.23866778954432422}, {""C"": 1742.7965174327296, ""gamma"": 0.0005621245468379847, ""epsilon"": 0.016568741045181804}, {""C"": 326.98062344037237, ""gamma"": 0.023027655276723055, ""epsilon"": 0.0033020271106882254}]",0.9374543105186568,0.1165663359989347,50.30201894528326,78.23400949764253,2.559333802980631,2.3979767760459394,-0.9730236829653334,,2200.118935439281,,32.034852690092265,,"[-0.4088625173909586, -1.35692940743958, -0.4761951959816819, -3.303986605303378, -27.3901033357493, -2.5995597324254716]","[766.8139516291099, 1817.7896619191342, 1539.0100694366952, 2341.489044911761, 4741.719658120562, 1874.109446877318]","[15.701712511811857, 18.869320915007957, 16.64161391981798, 31.01640188137588, 84.34540437825929, 21.291915196043313]","[0.978105457473948, 0.9992365796545923, 0.999778593098372, 0.9562743992900927, 0.7018250974305453, 0.9895057361643901]","[26.450706314031592, 0.8296615043027566, 0.23376004117073607, 56.6655025410932, 204.1872250585197, 13.44525821258155]","[2.0929112488576807, 0.7444996972641066, 0.3934732056942315, 5.849964258560105, 5.265059104836825, 1.0100953026708357]",,
DecisionTree,6.812,1.135,0.002,"[{""max_depth"": 10, ""min_samples_split"": 2, ""min_samples_leaf"": 10}, {""max_depth"": 46, ""min_samples_split"": 3, ""min_samples_leaf"": 3}, {""max_depth"": 10, ""min_samples_split"": 11, ""min_samples_leaf"": 7}, {""max_depth"": 16, ""min_samples_split"": 9, ""min_samples_leaf"": 19}, {""max_depth"": 38, ""min_samples_split"": 15, ""min_samples_leaf"": 13}, {""max_depth"": 5, ""min_samples_split"": 20, ""min_samples_leaf"": 19}]",0.560462762640223,0.1931042983405602,505.3924077572999,288.0670652748964,13.316094498534836,5.321864018475908,-0.7714635345259553,,1975.3591907691407,,29.976541991259744,,"[-0.6448566226885633, 0.2277977996569035, 0.7773327480154856, -1.2868874214494612, -42.435531976560235, -1.2789949611740714]","[895.2605319097428, 595.5635210219476, 232.14216105755304, 1244.1306944757503, 7254.609586955349, 1186.5578858568272]","[15.415254863171965, 14.518175903487144, 9.289930123931159, 19.183152306904407, 102.36346269614984, 17.079661524639906]","[0.44334595298653634, 0.8688208875873529, 0.6332010375183796, 0.37589357748601404, 0.6533011810839915, 0.3882139391790633]","[672.4914529979546, 142.5613823263485, 387.26408228764296, 808.8008740121408, 237.41592318970015, 783.8207317300125]","[16.469073922581728, 6.217421555459854, 12.72172341171283, 18.00015635474575, 7.813871831529857, 18.674319915178987]",,
RandomForest,30.856,5.143,0.117,"[{""n_estimators"": 53, ""max_depth"": 42, ""min_samples_split"": 11, ""min_samples_leaf"": 7}, {""n_estimators"": 102, ""max_depth"": 17, ""min_samples_split"": 2, ""min_samples_leaf"": 1}, {""n_estimators"": 150, ""max_depth"": 24, ""min_samples_split"": 2, ""min_samples_leaf"": 2}, {""n_estimators"": 89, ""max_depth"": 40, ""min_samples_split"": 4, ""min_samples_leaf"": 3}, {""n_estimators"": 101, ""max_depth"": 11, ""min_samples_split"": 12, ""min_samples_leaf"": 8}, {""n_estimators"": 192, ""max_depth"": 41, ""min_samples_split"": 2, ""min_samples_leaf"": 1}]",0.7862420878753423,0.1451039183697964,230.38805276338928,173.00098431498893,8.010603622419042,3.2047524986042286,-0.9485853683547903,,2172.867768010784,,31.000518965093036,,"[0.25732754536633473, -0.3463888245879856, 0.34325881168165007, -1.0369773065177341, -43.070590128365566, -3.2302749214480153]","[404.2208467284378, 1038.4068689262324, 684.6867572710239, 1108.1726049212334, 7360.677102344532, 2202.491077382914]","[9.60590995141464, 13.359104790769544, 12.908073842566935, 17.396530748881972, 103.6523047632944, 26.797194812481855]","[0.5323496405716661, 0.8997729152642463, 0.8197890348993958, 0.818704782149372, 0.7162225093424472, 0.9306136450249262]","[564.9664659661937, 108.92368063539014, 190.2656254687551, 234.94667794181123, 194.3280197364656, 88.8978468317197]","[13.922435252573765, 5.561628953659034, 6.9875018624962095, 9.233619310989823, 6.938992108545909, 5.419444246249513]",,
XGBoost,15.353,2.559,0.075,"[{""n_estimators"": 108, ""learning_rate"": 0.2964768449464465, ""max_depth"": 3, ""subsample"": 0.700119228093878, ""colsample_bytree"": 0.8765030887725376}, {""n_estimators"": 87, ""learning_rate"": 0.06803835701925812, ""max_depth"": 6, ""subsample"": 0.7582662237677473, ""colsample_bytree"": 0.7124055332211046}, {""n_estimators"": 148, ""learning_rate"": 0.297386397369861, ""max_depth"": 4, ""subsample"": 0.6656712255511164, ""colsample_bytree"": 0.8185049945284193}, {""n_estimators"": 173, ""learning_rate"": 0.05047880058659938, ""max_depth"": 3, ""subsample"": 0.7638239917404552, ""colsample_bytree"": 0.81931921418225}, {""n_estimators"": 163, ""learning_rate"": 0.03288708290255596, ""max_depth"": 3, ""subsample"": 0.6060400278249596, ""colsample_bytree"": 0.7236102034476318}, {""n_estimators"": 59, ""learning_rate"": 0.04506148594596852, ""max_depth"": 7, ""subsample"": 0.6962119334422047, ""colsample_bytree"": 0.9607818852292755}]",0.980394836960344,0.0246230109085421,20.04800510375868,26.548100084225133,2.090550724198468,1.886692073614981,-1.002389715197551,,2232.865001353563,,31.176694009690117,,"[0.0002715557692150039, 0.33677321357636125, 0.21465839459976188, -1.3311575415897865, -49.48131294394164, -2.045767925666684]","[544.1309633932846, 511.5158697851861, 818.7593632255284, 1268.214877544018, 8431.39706549104, 1585.7779469717552]","[10.591765029250496, 10.63540196950348, 13.824203643202571, 20.154303589347332, 109.53224411097429, 20.338694061600343]","[0.9998852790360055, 0.9930067954333935, 0.9999995375866383, 0.9915384338940804, 0.9510784374708009, 0.9468605383411451]","[0.1385939223470813, 7.599997374355116, 0.00048821317531379547, 10.965633127779558, 33.50100230530712, 68.0823156795879]","[0.22640641306770234, 1.7511726744123441, 0.013676087639691054, 2.2866628290324984, 3.2622726761499825, 5.003113664888591]",,
GPR,34.16,5.693,0.916,"[{""kernel"": ""RationalQuadratic"", ""alpha"": 3.292449752412966e-10}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.00920755467246407}, {""kernel"": ""RationalQuadratic"", ""alpha"": 2.0822360093533994e-09}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.07435396176241768}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.09768065564084266}, {""kernel"": ""RationalQuadratic"", ""alpha"": 0.07435396176241768}]",0.989290716363453,0.0161168582212253,9.591803082095854,11.612927420665876,1.2948177218748225,1.298694008263465,-0.6382457558453924,,1826.8080304648904,,28.07237713566072,,"[0.10898629003371407, -1.425963356937145, -0.38313210691711297, -0.8378346692171859, -35.660299012170995, -0.8085634386173421]","[484.9598420435243, 1871.0323255822962, 1441.9869714391368, 999.8334425642905, 6123.009079706157, 941.6278871710224]","[10.150912902550944, 19.77915358897555, 15.858760792113255, 17.66989507551106, 94.69866708553823, 15.44366461184175]","[1.0, 0.9996627069393439, 0.9999999999999999, 0.9884950898567113, 0.9582878647232627, 0.9892986366613998]","[1.5251282688087825e-15, 0.3665596152607024, 7.436399308942624e-14, 14.909606829297644, 28.56405780643686, 13.71059424157984]","[1.5142657064902452e-08, 0.39032550707870517, 9.391185073705938e-08, 2.3402854677237275, 2.81142203321747, 2.226873214174525]",,
NNR,3923.572,653.929,3.147,"[{""hidden_layers"": 3, ""units"": 49, ""activation"": ""relu"", ""learning_rate"": 0.004835952776465951}, {""hidden_layers"": 2, ""units"": 60, ""activation"": ""selu"", ""learning_rate"": 0.0017974300055111012}, {""hidden_layers"": 2, ""units"": 94, ""activation"": ""selu"", ""learning_rate"": 0.0032422046996630842}, {""hidden_layers"": 4, ""units"": 46, ""activation"": ""selu"", ""learning_rate"": 0.0053173902548460565}, {""hidden_layers"": 1, ""units"": 111, ""activation"": ""tanh"", ""learning_rate"": 0.0004419739958325041}, {""hidden_layers"": 3, ""units"": 98, ""activation"": ""selu"", ""learning_rate"": 0.0009079116747274279}]",0.9463831558873612,0.0802592830485547,44.444622467638254,54.55776285721487,3.3072116428146185,1.9551673855625675,-0.8288191214217304,,2039.316412302829,,31.18950339339987,,"[0.4905747758555027, -1.0978078038932502, 0.17081061354648552, -3.8209473074634692, -36.32469615146001, -0.042214006856876374]","[277.2693320773372, 1617.9412614453488, 864.4729495772112, 2622.730120166553, 6233.976797537559, 542.6283382168531]","[9.091330439604203, 20.95480929565743, 13.844072455330942, 32.35795596388172, 95.30802529815571, 14.04619719626345]","[0.9970110858661216, 0.9748727866568261, 0.9326981876283843, 0.9933042286022287, 0.7898759247047556, 0.9905367218658501]","[3.6108948090147184, 27.307474508163967, 71.05683840557452, 8.6772793282409, 143.89088914862472, 12.12435860621071]","[1.2458132894399947, 3.4697038326715264, 5.060022097885499, 1.7901753431781888, 6.148862592922189, 2.1286927007903143]",100.0,8.0
Ridge,8.897,1.483,0.003,"[{""alpha"": 7.989651750111922}, {""alpha"": 6.116401248757144}, {""alpha"": 9.477789680299699}, {""alpha"": 2.187840588943156}, {""alpha"": 2.436051537930314}, {""alpha"": 2.899816719944849}]",0.5045997552607324,0.11812088418608632,560.5685874764506,188.5257124367405,15.021186418309405,4.173789769900636,-0.7553372065942197,,1957.376720640657,,29.792668612164704,,"[-0.16316386700797647, -0.8089754538162164, 0.14686983046912583, -3.3383362698171988, -34.61979243687043, 0.13995684420637167]","[633.0853935303275, 1395.1783486739362, 889.4324578634809, 2360.176222761339, 5949.2235029451995, 447.7811518101797]","[12.458379563645622, 17.86059701029895, 18.75361668779752, 27.905638368641032, 93.67468165237382, 10.406466835163771]","[0.4343555022375105, 0.47409234082947893, 0.39355496073408147, 0.5690189500727212, 0.713486300248604, 0.44309047744199836]","[683.3527793814718, 571.540098788893, 640.2809320949965, 558.5230936411998, 196.20174866950876, 713.512872282634]","[17.614787092627488, 16.190604833734508, 15.979582440263707, 15.559420531286596, 6.73591631291421, 18.04680729902992]",,
Lasso,6.412,1.069,0.002,"[{""alpha"": 0.9243851725090706}, {""alpha"": 2.200167817792351}, {""alpha"": 2.345202311587968}, {""alpha"": 0.8541339517519173}, {""alpha"": 0.37691007300837914}, {""alpha"": 1.1146947913375571}]",0.06056780742346485,0.14836022302664392,1060.621041228362,321.4713193388603,20.375177542279438,5.078850971530028,-0.285301064909087,,1433.2393650727608,,23.958589706367036,,"[-0.40488700847288217, -0.8766998452559418, -0.7444672552804461, -0.03125980824098806, -26.575893134573654, -0.04217598798407862]","[764.6501665432148, 1447.4110113197958, 1818.697607868733, 561.0341678291239, 4605.730138424262, 542.6085437047554]","[12.9758955375911, 15.308830316662528, 16.58616501872551, 12.672102338565146, 85.9871673096207, 7.943174109085023]","[0.0, 0.0, 0.0, 0.0, 0.363406844540789, 1.1102230246251565e-16]","[1208.0958660158437, 1086.768920023612, 1055.7938323150195, 1295.934226656698, 435.9326985080025, 1281.2007038509962]","[22.257192349168466, 21.06398659421171, 20.892189274076078, 23.30493447184759, 10.366355866339093, 24.366406698033703]",,
