Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.002,{},0.3598005572978751,652.8256888718524,17.452838600173642,0.01929339518947657,979.0896511435976,20.273647723884174,"[-0.018496071103414558, 0.09654351166641795, 0.48525841790586877, -0.4062641161022331, -0.06057476641925619]","[1110.309721367574, 1352.6516399158415, 369.6161960797586, 1642.030057525946, 420.840640828868]","[20.77620458869153, 22.175747037178418, 14.98770863165049, 29.925494273494053, 13.50308408840638]","[0.3926176275679609, 0.29036730237927766, 0.26326818009185116, 0.5147827922802108, 0.3379668841700749]","[606.7028058865504, 636.8196403858075, 788.4616848285145, 474.5587826007237, 757.5855306576658]","[16.79543539080376, 16.74244984379671, 19.474371400189998, 14.982339882119316, 19.269596483958416]",,
BayesianRidge,11.141,0.002,"{'max_iter': 109, 'alpha_1': 1.1388853972097064e-06, 'alpha_2': 4.585647705427156e-06, 'lambda_1': 1.981840672596458e-07, 'lambda_2': 9.864810344585161e-06}",0.2331632967664591,784.8023526020858,19.132724205775077,-0.11484616707892159,1079.5144748758573,22.15735031342117,"[-0.03508802763774832, -0.037657378088444826, -0.16619833272069062, -0.2344090929115894, -0.10087800403613478]","[1128.3973813588598, 1553.5767048737623, 837.4023133339024, 1441.3628354979746, 436.8331393147884]","[21.123885168864465, 23.069606942995378, 25.378558504739456, 27.94923736232612, 13.265463588180419]","[0.30712014712574887, 0.1968437891713719, 0.011416062673321181, 0.45167148477840857, 0.1987650000834449]","[692.1046279262977, 720.7470161230901, 1057.9976807791172, 536.2837684006735, 916.8786697812503]","[17.648726209228087, 18.939477703646848, 21.79859885076349, 15.766497069313266, 21.510321195923694]",,
SVR,2.172,0.003,"{'C': 726.8839701002998, 'gamma': 0.012843088456598643, 'epsilon': 0.44786290145710916}",0.8575793487460157,144.96439853247415,9.79586018791505,0.22819969129390344,789.9362759223259,16.705800294857262,"[-0.5513778962519214, 0.31411329986434944, 0.3604872265736714, 0.5036839233620526, 0.5140919029213652]","[1691.2288702863204, 1026.9069752835678, 459.2096051315903, 579.5255006091713, 192.81042830097988]","[25.2447949163213, 16.49497109343497, 16.494044283391677, 17.401459216574803, 7.893731964563555]","[0.8667905214149452, 0.8542239901652248, 0.8602614386011209, 0.8536942725319957, 0.8529265210167919]","[133.06043786656, 130.8184170079998, 149.55035004434774, 143.09193245847396, 168.3008552849893]","[9.228355509516927, 9.481278999908806, 9.740905834069014, 9.520235458505097, 11.008525137575402]",,
DecisionTree,2.42,0.001,"{'max_depth': 38, 'min_samples_split': 4, 'min_samples_leaf': 1}",0.9622949514472261,37.26968783906176,2.8623119177813643,-0.29245585765987014,1282.1576364015161,18.592112370290188,"[-0.3777326247692041, -0.6741445748563513, -0.48317359965328444, 0.25719320880859964, -0.18442169782911044]","[1501.9301204267383, 2506.522930409817, 1065.0101004070796, 867.3413934868599, 469.98363727708676]","[21.96428654367796, 21.72075298560172, 19.332378073777214, 18.58086509355187, 11.362279154842168]","[0.9736714009344045, 0.9228982997560091, 0.9419657676038208, 0.9866696635193113, 0.9862696254225852]","[26.299141452193048, 69.19055053006457, 62.10912494389864, 13.037518355257763, 15.712103913894772]","[2.795787440944344, 4.006651905571931, 3.1906183358763394, 2.0553934990495004, 2.263108407464707]",,
RandomForest,10.189,0.047,"{'n_estimators': 51, 'max_depth': 17, 'min_samples_split': 7, 'min_samples_leaf': 7}",0.35584103319768257,659.8785401325022,16.908646710561253,0.027019201738488728,974.761835673223,20.479524531944783,"[0.11736651186295233, -0.15634250549177464, 0.08296530086022447, 0.00837571560055006, 0.08273098586049143]","[962.1996295198568, 1731.2716290774158, 658.4874604267068, 1157.8741589948816, 363.97630034725483]","[20.888975749375412, 19.812543558020028, 22.627452777840887, 26.8089935597908, 12.259657014696778]","[0.36074632356963166, 0.4571161639531425, 0.24604372995799062, 0.37855042089967883, 0.33674852760796925]","[638.5384508454649, 487.1803263882354, 806.8955553439506, 607.7986332996919, 758.9797347851677]","[16.480332584661998, 15.68855999367392, 18.381911120515785, 15.777247996971175, 18.21518185698341]",,
XGBoost,5.183,0.05,"{'n_estimators': 76, 'learning_rate': 0.0598328292072406, 'max_depth': 6, 'subsample': 0.9969855890275662, 'colsample_bytree': 0.9992703434376722}",0.99396784931027,6.167607230890193,1.3827093460780049,-0.13837590321990853,1064.0441860260253,18.136690492738023,"[-0.294405594204199, -0.3511749107683624, 0.4463282742242223, 0.3520140919558098, -0.8446413773070134]","[1411.0914665389666, 2022.9739699308445, 397.5704397643445, 756.6234007385082, 731.9616531574633]","[24.726897574931865, 19.567256442566467, 14.94392120318246, 17.02295165539831, 14.42242558761101]","[0.9933617772233924, 0.9960412842277387, 0.9927920600524772, 0.9927927445849546, 0.9948513804627871]","[6.630795636267034, 3.552525078020608, 7.714047800833581, 7.048938704646245, 5.891728934683491]","[1.4372248842905424, 1.1822370014115426, 1.5012714352750776, 1.4121445070390117, 1.38066890237385]",,
GPR,9.675,0.054,"{'kernel': 'RBF_default', 'alpha': 0.001626267860399375}",0.9998500313791349,0.1437784666225215,0.12458327228649653,0.23218730416200964,753.6726911836262,15.834277528834571,"[-0.05077256294360866, 0.18109628164058678, 0.3554854101708119, 0.4703355827389991, 0.204791809203259]","[1145.495819457264, 1226.0595522593105, 462.80121773221407, 618.4648271870576, 315.54203928228503]","[18.475431899812182, 17.019078868973754, 15.609424840459843, 18.101766997212245, 9.965685037714813]","[0.9997612460551252, 0.9997395735328052, 0.9999931778574703, 0.9997616622694339, 0.9999944971808395]","[0.23848681629013163, 0.23370497123648398, 0.007301161491492293, 0.23310233327624222, 0.006297050818257395]","[0.17653328890303546, 0.16539226798904538, 0.05938647041134158, 0.16395166871145894, 0.05765266541760131]",,
NNR,1175.119,2.164,"{'hidden_layers': 1, 'units': 123, 'activation': 'relu', 'learning_rate': 0.000420376896556811}",0.90388824903163,97.67789999816986,6.883560955869051,0.23228447216457368,759.5663244923793,16.91109054207083,"[-0.1923693966559219, 0.3419790821993246, 0.5203774507905656, 0.26083583956886314, 0.23059938492003706]","[1299.857083527065, 985.1864312843035, 344.3985649491385, 863.0880607534615, 305.3014819479283]","[20.761624544604498, 17.159959420729543, 14.599280180882177, 20.678456773603283, 11.356131790534661]","[0.941106742128661, 0.8842132055746442, 0.8804959051258899, 0.9067117236066555, 0.9069136687223001]","[58.82736546217358, 103.90629551682495, 127.89511385580542, 91.23907844115773, 106.52164671488765]","[5.205701737126201, 7.406662702422022, 7.781149434608557, 6.774352347535611, 7.249938557652862]",100.0,8.0
