Model,Optimization Time (s),Avg Retraining Time (s),Best Params,Avg Train R2,Avg Train MSE,Avg Train MAPE (%),Avg Test R2,Avg Test MSE,Avg Test MAPE (%),All Fold Test R2,All Fold Test MSE,All Fold Test MAPE (%),All Fold Train R2,All Fold Train MSE,All Fold Train MAPE (%),NNR_Epochs,NNR_Batch_Size
LinearRegression,0.0,0.001,{},0.7541584673716172,1626.4440880594484,10.732445911648893,0.4737096789903301,3515.3524615036877,14.5291209117715,"[0.5089176480156524, 0.5370500258533011, 0.37516136310203674]","[2785.005911573891, 2887.35082711898, 4873.700645818191]","[12.470531802789239, 16.51548482601983, 14.601346106505428]","[0.7536996978623884, 0.7174760016800714, 0.7912997025723915]","[1731.747486532355, 1903.0218698340434, 1244.562907811947]","[10.774613139233592, 11.478441470452612, 9.944283125260476]",,
BayesianRidge,8.018,0.003,"{'max_iter': 409, 'alpha_1': 7.024145209988698e-07, 'alpha_2': 7.057536458089827e-06, 'lambda_1': 6.954525873348822e-06, 'lambda_2': 1.0502091738254967e-07}",0.749300935420981,1658.8734905671945,10.454925764539079,0.515064423480287,3236.3547357859657,13.741408478984459,"[0.5534535948008337, 0.5600127961309826, 0.43172687950904487]","[2532.4354932457177, 2744.1354097806097, 4432.49330433157]","[11.677622497636344, 16.036715179770624, 13.509887759546405]","[0.7482714700604487, 0.711532620717964, 0.7880987154845303]","[1769.9135779693122, 1943.0552263591694, 1263.651667373102]","[10.156791365299092, 11.248548870146793, 9.959437058171352]",,
SVR,1.711,0.001,"{'C': 2.8599958913589116, 'gamma': 0.0070786932016697595, 'epsilon': 0.21366056508436662}",0.6991859931082716,1997.9110526808072,9.412809720203802,0.590000963007724,2749.814423263107,11.409076485584729,"[0.5938410585494528, 0.6930215287743552, 0.48314030169936373]","[2303.3917802332703, 1914.5795275932314, 4031.4719619628204]","[10.617339399065369, 11.764260022321908, 11.845630035366908]","[0.6908617441762104, 0.6348180927616087, 0.7718781423869957]","[2173.5637060434315, 2459.7880536697244, 1360.3813983292653]","[9.347638365642885, 9.987322815192014, 8.903467979776506]",,
DecisionTree,1.953,0.0,"{'max_depth': 23, 'min_samples_split': 8, 'min_samples_leaf': 13}",0.5861405959701811,2702.847206376613,14.102315019684516,0.5462024526293802,2950.4297341294564,14.594944939854125,"[0.4550585976931436, 0.611391876192396, 0.5721568840026008]","[3090.449128854734, 2423.691652147036, 3337.148421386598]","[15.2566454863606, 14.91831754932197, 13.609871783879804]","[0.6199454284612367, 0.6132084099960261, 0.5252679494532804]","[2672.1792190074607, 2605.3463041108475, 2831.0160960115313]","[13.4700983619587, 13.44031789984221, 15.396528797252639]",,
RandomForest,6.509,0.103,"{'n_estimators': 123, 'max_depth': 31, 'min_samples_split': 10, 'min_samples_leaf': 6}",0.719097139143182,1847.6842209954668,10.827132001806653,0.5373973027899773,3060.020450032202,14.709781921865002,"[0.5163963936413762, 0.6063754550477822, 0.4894200596807736]","[2742.5927588824215, 2454.978332241952, 3982.490258972233]","[14.789845374320997, 14.813000942404392, 14.526499448869618]","[0.7391336408532949, 0.6903976006840745, 0.7277601758921762]","[1834.1620284361295, 2085.416249079537, 1623.4743854707342]","[9.823061679006347, 11.400402347750463, 11.257931978663153]",,
XGBoost,4.091,0.089,"{'n_estimators': 133, 'learning_rate': 0.04639531671638138, 'max_depth': 6, 'subsample': 0.7792025014772358, 'colsample_bytree': 0.8733679044941427}",0.9974856770641987,16.709906443150803,0.983892010844886,0.4707858717209707,3480.433204440758,14.304387068213849,"[0.548876158527799, 0.37183987938023566, 0.49164157725487734]","[2558.3948604042844, 3917.7421862430133, 3965.162566674976]","[13.478487637469188, 18.979413112073473, 10.455260455098886]","[0.9971850729958985, 0.9972259393634813, 0.9980460188332161]","[19.791866765153987, 18.68548544878948, 11.652367115508948]","[0.9691535719286472, 0.9473262590810876, 1.0351962015249234]",,
GPR,7.787,0.06,"{'kernel': 'Matern_nu_0.5', 'alpha': 0.09864775063547042}",0.9769427506170612,152.3444776166145,3.1028422821193655,0.5287209078560219,3162.680412742415,12.948097179085133,"[0.5854787278184405, 0.5794370826708573, 0.42124691307876805]","[2350.8158842074804, 2622.988994532445, 4514.236359487318]","[11.433427824946001, 15.385749468412143, 12.025114243897256]","[0.9775168665306374, 0.97341912285867, 0.9798922624618759]","[158.07982993535518, 179.04316383786158, 119.91043907662682]","[2.9486570400239156, 3.2655534613457076, 3.0943163449884747]",,
NNR,909.32,3.083,"{'hidden_layers': 3, 'units': 99, 'activation': 'tanh', 'learning_rate': 2.33910889153974e-05}",0.7311434711186839,1785.2014255685317,10.785453059910639,0.5438958625474694,3072.5555971426043,13.611032251777429,"[0.6126008868919912, 0.5966975449627432, 0.42238915578767344]","[2197.001818095624, 2515.338032532088, 4505.3269408001015]","[11.717370207877211, 15.178550412299128, 13.937176135155946]","[0.7331925116602358, 0.6622773442353873, 0.7979605574604289]","[1875.9343505078089, 2274.8283461948945, 1204.8415800028918]","[10.420524140968938, 11.949929562615772, 9.985905476147208]",100.0,8.0
